t	Sg
0.177099999999997	2657.99656080317
0.178099999999997	2659.70825088135
0.179099999999997	2668.99979553522
0.180099999999996	2678.31939783276
0.181099999999996	2682.45347491968
0.182099999999996	2691.95768728728
0.183099999999996	2701.49871925351
0.184099999999996	2710.65463822336
0.185099999999996	2719.82867605536
0.186099999999996	2729.01432787969
0.187099999999996	2730.22056906541
0.188099999999996	2732.07723485601
0.189099999999995	2741.00494286291
0.190099999999995	2749.94578917924
0.191099999999995	2758.89284287926
0.192099999999995	2767.8386764955
0.193099999999995	2776.77882047676
0.194099999999995	2785.70823064163
0.195099999999995	2794.62215145424
0.196099999999995	2790.9604910701
0.197099999999995	2799.34933205789
0.198099999999995	2807.82877872799
0.199099999999994	2816.05122489127
