t	Rg
0.500099999999961	0	0.000573690999999966
0.502099999999961	0	0.000575460999999966
0.504099999999961	0	0.000577219999999966
0.506099999999961	0	0.000578968999999965
0.50809999999996	0	0.000580705999999965
0.51009999999996	0	0.000582432999999966
0.51209999999996	0	0.000584148999999966
0.51409999999996	0	0.000585854999999966
0.516099999999959	0	0.000587550999999966
0.518099999999959	0	0.000589236999999966
0.520099999999959	0	0.000590912999999966
0.522099999999959	0	0.000592579999999966
0.524099999999959	0	0.000594236999999966
0.526099999999958	0	0.000595883999999966
0.528099999999958	0	0.000597521999999966
0.530099999999958	0	0.000599151999999966
0.532099999999958	0	0.000600771999999966
0.534099999999958	0	0.000602382999999965
0.536099999999957	0	0.000603984999999966
0.538099999999957	0	0.000605578999999966
0.540099999999957	0	0.000607164999999965
0.542099999999957	0	0.000608741999999966
0.544099999999956	0	0.000610309999999966
0.546099999999956	0	0.000611870999999966
0.548099999999956	0	0.000613422999999966
0.550099999999956	0	0.000614967999999966
0.552099999999956	0	0.000616504999999966
0.554099999999955	0	0.000618033999999966
0.556099999999955	0	0.000619554999999966
0.558099999999955	0	0.000621068999999966
0.560099999999955	0	0.000622574999999966
0.562099999999954	0	0.000624074999999966
0.564099999999954	0	0.000625565999999966
0.566099999999954	0	0.000627050999999966
0.568099999999954	0	0.000628528999999966
0.570099999999954	0	0.000629999999999966
0.572099999999953	0	0.000631463999999966
0.574099999999953	0	0.000632920999999966
0.576099999999953	0	0.000634370999999966
0.578099999999953	0	0.000635814999999966
0.580099999999952	0	0.000637251999999966
0.582099999999952	0	0.000638682999999966
0.584099999999952	0	0.000640106999999966
0.586099999999952	0	0.000641524999999966
0.588099999999952	0	0.000642936999999966
0.590099999999951	0	0.000644341999999966
0.592099999999951	0	0.000645741999999966
0.594099999999951	0	0.000647134999999966
0.596099999999951	0	0.000648522999999966
0.59809999999995	0	0.000649904999999966
0.60009999999995	0	0.000651279999999966
0.60209999999995	0	0.000652650999999965
0.60409999999995	0	0.000654014999999966
0.60609999999995	0	0.000655373999999966
0.608099999999949	0	0.000656726999999965
0.610099999999949	0	0.000658074999999965
0.612099999999949	0	0.000659416999999966
0.614099999999949	0	0.000660753999999966
0.616099999999948	0	0.000662084999999966
0.618099999999948	0	0.000663410999999966
0.620099999999948	0	0.000664731999999966
0.622099999999948	0	0.000666047999999966
0.624099999999948	0	0.000667358999999966
0.626099999999947	0	0.000668664999999966
0.628099999999947	0	0.000669965999999966
0.630099999999947	0	0.000671260999999966
0.632099999999947	0	0.000672551999999966
0.634099999999946	0	0.000673837999999966
0.636099999999946	0	0.000675118999999966
0.638099999999946	0	0.000676395999999965
0.640099999999946	0	0.000677667999999965
0.642099999999946	0	0.000678934999999965
0.644099999999945	0	0.000680196999999966
0.646099999999945	0	0.000681454999999965
0.648099999999945	0	0.000682707999999966
0.650099999999945	0	0.000683956999999966
0.652099999999945	0	0.000685201999999966
0.654099999999944	0	0.000686441999999966
0.656099999999944	0	0.000687676999999966
0.658099999999944	0	0.000688908999999965
0.660099999999944	0	0.000690135999999966
0.662099999999943	0	0.000691358999999965
0.664099999999943	0	0.000692576999999965
0.666099999999943	0	0.000693791999999965
0.668099999999943	0	0.000695001999999966
0.670099999999943	0	0.000696207999999966
0.672099999999942	0	0.000697410999999965
0.674099999999942	0	0.000698608999999965
0.676099999999942	0	0.000699802999999965
0.678099999999942	0	0.000700992999999966
0.680099999999941	0	0.000702179999999965
0.682099999999941	0	0.000703361999999965
0.684099999999941	0	0.000704540999999965
0.686099999999941	0	0.000705715999999965
0.688099999999941	0	0.000706886999999965
0.69009999999994	0	0.000708053999999965
0.69209999999994	0	0.000709217999999965
0.69409999999994	0	0.000710376999999966
0.69609999999994	0	0.000711533999999965
0.698099999999939	0	0.000712685999999965
0.700099999999939	0	0.000713834999999965
0.702099999999939	0	0.000714980999999965
0.704099999999939	0	0.000716122999999965
0.706099999999939	0	0.000717260999999965
0.708099999999938	0	0.000718395999999965
0.710099999999938	0	0.000719527999999965
0.712099999999938	0	0.000720655999999965
0.714099999999938	0	0.000721779999999965
0.716099999999937	0	0.000722901999999965
0.718099999999937	0	0.000724019999999965
0.720099999999937	0	0.000725133999999965
0.722099999999937	0	0.000726244999999965
0.724099999999937	0	0.000727353999999965
0.726099999999936	0	0.000728457999999965
0.728099999999936	0	0.000729559999999965
0.730099999999936	0	0.000730657999999965
0.732099999999936	0	0.000731753999999965
0.734099999999935	0	0.000732845999999965
0.736099999999935	0	0.000733934999999964
0.738099999999935	0	0.000735019999999965
