t	fg_A
0.412099999999971	0.175470210445046	0.231639999999962
0.414099999999971	0.177241832449446	0.234069999999965
0.41609999999997	0.178996940089427	0.236499999999965
0.41809999999997	0.180766705711363	0.238909999999964
0.42009999999997	0.18254359678388	0.241309999999964
0.42209999999997	0.18428755820599	0.243699999999967
0.42409999999997	0.186039207764808	0.246079999999964
0.426099999999969	0.187796510836348	0.248449999999963
0.428099999999969	0.189517686578632	0.250809999999963
0.430099999999969	0.191223025975457	0.253149999999966
0.432099999999969	0.192931570324034	0.255489999999962
0.434099999999969	0.194624336826873	0.257809999999965
0.436099999999968	0.196303116697747	0.260129999999962
0.438099999999968	0.197992306443663	0.262429999999962
0.440099999999968	0.199687896339533	0.264719999999965
0.442099999999968	0.201352994032753	0.266999999999964
0.444099999999967	0.203020835221115	0.269279999999961
0.446099999999967	0.204665701148261	0.271539999999964
0.448099999999967	0.206285713642072	0.273789999999964
0.450099999999967	0.207897397013972	0.27603999999996
0.452099999999967	0.20949812478906	0.278269999999963
0.454099999999966	0.211074171673647	0.28049999999996
0.456099999999966	0.212681811910831	0.282709999999963
0.458099999999966	0.214290513969414	0.284919999999963
0.460099999999966	0.215883542269368	0.287109999999962
0.462099999999965	0.217476625663201	0.289299999999962
0.464099999999965	0.219085898467046	0.291479999999962
0.466099999999965	0.220669310355939	0.293649999999965
0.468099999999965	0.222228232525906	0.295819999999961
0.470099999999965	0.223782179848801	0.297969999999961
0.472099999999964	0.225332498378032	0.300119999999961
0.474099999999964	0.226868614030843	0.302259999999961
0.476099999999964	0.228393065486868	0.30438999999996
0.478099999999964	0.229922022351157	0.30650999999996
0.480099999999963	0.23144340915196	0.308619999999963
0.482099999999963	0.23294991941464	0.310729999999963
0.484099999999963	0.234436902124077	0.312829999999963
0.486099999999963	0.235939614605715	0.314919999999963
0.488099999999963	0.237452296928939	0.317009999999959
0.490099999999962	0.238953090884711	0.319089999999959
0.492099999999962	0.240438281112431	0.321159999999958
0.494099999999962	0.241913320876286	0.323219999999962
0.496099999999962	0.243371403045674	0.325269999999962
0.498099999999961	0.244813251783947	0.327319999999961
0.500099999999961	0.246269578950145	0.329369999999957
0.502099999999961	0.247735410366933	0.331399999999961
0.504099999999961	0.249190791661675	0.333429999999961
0.506099999999961	0.250636646434643	0.335449999999961
0.50809999999996	0.252079417820777	0.33746999999996
0.51009999999996	0.253551922327697	0.33947999999996
0.51209999999996	0.25501363632266	0.34148999999996
0.51409999999996	0.256467188690199	0.34347999999996
0.516099999999959	0.257909154183648	0.345469999999959
0.518099999999959	0.259340893845622	0.347459999999959
0.520099999999959	0.260759405640047	0.349439999999959
0.522099999999959	0.262169148794642	0.351409999999959
0.524099999999959	0.263569410134219	0.353379999999959
0.526099999999958	0.264967694355308	0.355339999999963
0.528099999999958	0.266357855137828	0.357299999999958
0.530099999999958	0.267741832695678	0.359249999999958
0.532099999999958	0.269118829154628	0.361199999999958
0.534099999999958	0.270486734150051	0.363139999999957
0.536099999999957	0.271850503940876	0.365069999999957
0.538099999999957	0.273205238162408	0.366999999999957
0.540099999999957	0.274551673617259	0.368919999999961
0.542099999999957	0.2758961168991	0.370839999999961
