t	Cl
0.114000000000002	5.00000282027452	5
0.116000000000002	5.00000307861032	5
0.118000000000002	5.00000335852132	5
0.120000000000002	5.00000366206537	5
0.122000000000002	5.00000399150864	5
0.124000000000003	5.00000434934748	5
0.126000000000002	5.00000473833208	5
0.128000000000002	5.00000516149284	5
0.130000000000002	5.00000562216924	5
0.132000000000002	5.00000612404181	5
0.134000000000002	5.00000667116714	5.00001
0.136000000000001	5.00000724735861	5.00001
0.138000000000001	5.00000787182496	5.00001
0.140000000000001	5.0000084831806	5.00001
0.142000000000001	5.00000907784885	5.00001
0.144	5.00000965171241	5.00001
0.146	5.00001020004289	5.00001
0.148	5.00001071742347	5.00001
0.1501	5.00001312732372	5.00001
0.1521	5.00001600907259	5.00001
0.154099999999999	5.00001879064917	5.00001
0.156099999999999	5.00002145512036	5.00001
0.158099999999999	5.00002398166948	5.00001
0.160099999999999	5.00002634538655	5.00001
0.162099999999998	5.00002851698567	5.00002
0.164099999999998	5.00003046245845	5.00002
0.166099999999998	5.00003214266827	5.00002
0.168099999999998	5.00003820206809	5.00002
0.170099999999998	5.00004396161482	5.00002
0.172099999999997	5.00004917971952	5.00002
0.174099999999997	5.00005376047953	5.00002
0.176099999999997	5.00005899077621	5.00002
0.178099999999997	5.00006401451304	5.00003
0.180099999999996	5.00006834871127	5.00003
0.182099999999996	5.00007226612581	5.00003
0.184099999999996	5.0000771811854	5.00003
0.186099999999996	5.00008133589683	5.00003
0.188099999999996	5.00008459005513	5.00004
0.190099999999995	5.00009421736924	5.00004
0.192099999999995	5.00010369534829	5.00004
0.194099999999995	5.00011336988368	5.00004
0.196099999999995	5.00013333968746	5.00005
0.198099999999995	5.00015350979884	5.00005
0.200099999999994	5.00017364739067	5.00005
0.202099999999994	5.00019248996503	5.00005
0.204099999999994	5.000208284898	5.00006
0.206099999999994	5.00022457922207	5.00006
0.208099999999993	5.00024126954441	5.00006
0.210099999999993	5.00027042515595	5.00007
0.212099999999993	5.00029756407752	5.00007
0.214099999999993	5.00032439651116	5.00008
0.216099999999993	5.00035344401159	5.00008
0.218099999999992	5.00037973935722	5.00008
0.220099999999992	5.00042539746413	5.00009
0.222099999999992	5.00046670257604	5.00009
0.224099999999992	5.00052987794817	5.0001
0.226099999999991	5.00059666306344	5.0001
0.228099999999991	5.00066045344791	5.00011
0.230099999999991	5.00072068672664	5.00011
0.232099999999991	5.00077524674541	5.00012
0.234099999999991	5.00082660563878	5.00012
0.23609999999999	5.00089330201228	5.00013
0.23809999999999	5.00097595513595	5.00014
0.24009999999999	5.00105686098971	5.00014
0.24209999999999	5.00117318555063	5.00015
0.244099999999989	5.00128772406513	5.00016
0.246099999999989	5.0014263027522	5.00016
0.248099999999989	5.00157100339425	5.00017
0.250099999999989	5.00171287216346	5.00018
0.252099999999989	5.00184317379184	5.00018
0.254099999999988	5.00197130738943	5.00019
0.256099999999988	5.00208648490625	5.0002
0.258099999999988	5.00226071678166	5.00021
0.260099999999988	5.00246181010758	5.00022
0.262099999999987	5.00269312673447	5.00023
0.264099999999987	5.00289990656346	5.00024
0.266099999999987	5.00313240820112	5.00025
0.268099999999987	5.00338585945355	5.00025
0.270099999999987	5.00363471251275	5.00026
0.272099999999986	5.00387212403958	5.00027
0.274099999999986	5.00412772260099	5.00029
0.276099999999986	5.00441267162155	5.0003
0.278099999999986	5.00478906970231	5.00031
0.280099999999985	5.00514169085204	5.00032
0.282099999999985	5.00546522888501	5.00033
0.284099999999985	5.00577188284495	5.00034
0.286099999999985	5.00616256900062	5.00035
