t	T
0.172099999999997	886.755513317925	886.75551
0.174099999999997	886.665514697474	886.66551
0.176099999999997	886.575516220376	886.57551
0.178099999999997	886.485517901175	886.48551
0.180099999999996	886.395519755805	886.39551
0.182099999999996	886.305521801713	886.30551
0.184099999999996	886.215524057989	886.21552
0.186099999999996	886.125526545507	886.12552
0.188099999999996	886.035529287078	886.03552
0.190099999999995	885.945532307611	885.94552
0.192099999999995	885.855535634292	885.85553
0.194099999999995	885.76553929677	885.76553
0.196099999999995	885.675543327362	885.67553
0.198099999999995	885.585547761267	885.58554
0.200099999999994	885.4955526368	885.49554
0.202099999999994	885.405557995647	885.40554
0.204099999999994	885.315563883122	885.31555
0.206099999999994	885.225570348461	885.22555
0.208099999999993	885.135577445127	885.13556
0.210099999999993	885.045585231133	885.04557
0.212099999999993	884.955593769396	884.95557
0.214099999999993	884.865603128106	884.86558
0.216099999999993	884.775613381129	884.77559
0.218099999999992	884.685624608427	884.6856
0.220099999999992	884.595636896515	884.59561
0.222099999999992	884.505650338937	884.50563
0.224099999999992	884.415665036789	884.415640000001
0.226099999999991	884.325681099259	884.32565
0.228099999999991	884.23569864421	884.23567
0.230099999999991	884.145717798802	884.14569
0.232099999999991	884.055738700146	884.05571
0.234099999999991	883.965761496005	883.96573
0.23609999999999	883.875786345536	883.87575
0.23809999999999	883.785813420076	883.785780000001
0.24009999999999	883.69584290398	883.695810000001
0.24209999999999	883.605874995504	883.60584
0.244099999999989	883.515909907747	883.51587
0.246099999999989	883.425947869648	883.425910000001
0.248099999999989	883.33598912703	883.335940000001
0.250099999999989	883.24603394373	883.245990000001
0.252099999999989	883.156082602766	883.156030000001
0.254099999999988	883.066135407596	883.066090000001
0.256099999999988	882.976192683431	882.976140000001
0.258099999999988	882.886254778631	882.886200000001
0.260099999999988	882.796322054264	882.796270000001
0.262099999999987	882.706394887319	882.706340000001
0.264099999999987	882.616473729153	882.616420000001
0.266099999999987	882.526559035883	882.526500000001
0.268099999999987	882.436651295005	882.436590000001
0.270099999999987	882.346751027318	882.346690000001
0.272099999999986	882.256858788953	882.256800000001
0.274099999999986	882.166975173514	882.166910000001
0.276099999999986	882.077100814322	882.077040000001
0.278099999999986	881.987236386787	881.987170000001
0.280099999999985	881.897382610901	881.897320000001
0.282099999999985	881.80754025386	881.807470000001
0.284099999999985	881.717710132813	881.717640000001
0.286099999999985	881.627893117764	881.627830000001
0.288099999999985	881.538090134608	881.538030000001
0.290099999999984	881.448302168326	881.448240000001
0.292099999999984	881.35852496032	881.358470000001
0.294099999999984	881.268761244468	881.268720000001
0.296099999999984	881.179015725571	881.178980000001
0.298099999999983	881.08928968688	881.089270000001
0.300099999999983	880.999584491518	880.999580000001
0.302099999999983	880.909901586974	880.909910000001
0.304099999999983	880.820242509781	880.820260000001
0.306099999999983	880.730608890407	880.730640000001
0.308099999999982	880.641002458362	880.641050000001
0.310099999999982	880.551425047522	880.551490000001
0.312099999999982	880.461878601699	880.461960000001
0.314099999999982	880.372365180447	880.372470000001
0.316099999999982	880.282886851909	880.283010000001
0.318099999999981	880.19344551525	880.193590000001
0.320099999999981	880.104043547964	880.104210000001
0.322099999999981	880.014683482542	880.014870000001
0.324099999999981	879.925367997233	879.925590000001
0.32609999999998	879.836099923359	879.836340000001
0.32809999999998	879.746880589262	879.747160000001
0.33009999999998	879.65771163169	879.658030000001
0.33209999999998	879.568599096636	879.568950000001
0.33409999999998	879.479546992376	879.479940000001
0.336099999999979	879.390559072154	879.391000000001
0.338099999999979	879.301639296661	879.302120000001
0.340099999999979	879.212791843861	879.213330000001
0.342099999999979	879.124021119163	879.124610000001
0.344099999999978	879.035331765961	879.035970000001
0.346099999999978	878.946728676531	878.947430000001
0.348099999999978	878.85821700331	878.858980000001
0.350099999999978	878.769802170531	878.770620000001
0.352099999999978	878.681484004475	878.682380000001
0.354099999999977	878.593273459336	878.594240000001
0.356099999999977	878.505178262339	878.506230000001
0.358099999999977	878.417205145651	878.418340000001
0.360099999999977	878.329354762038	878.330580000001
0.362099999999976	878.24162955589	878.242960000001
0.364099999999976	878.154045605039	878.155480000001
0.366099999999976	878.06661089734	878.068160000001
0.368099999999976	877.979333813284	877.981010000001
0.370099999999976	877.892223141426	877.894030000001
0.372099999999975	877.805288094114	877.807230000001
0.374099999999975	877.718536861184	877.720620000001
0.376099999999975	877.63197693117	877.634220000001
0.378099999999975	877.545618843682	877.548020000001
0.380099999999974	877.459478884032	877.462050000001
0.382099999999974	877.3735683249	877.376320000001
0.384099999999974	877.287898668464	877.290840000001
0.386099999999974	877.202479969527	877.205610000001
0.388099999999974	877.117312205062	877.120660000001
0.390099999999973	877.032421242405	877.036000000001
0.392099999999973	876.947819828733	876.951640000001
0.394099999999973	876.863527838853	876.867600000001
0.396099999999973	876.779555839825	876.783890000001
0.398099999999972	876.695916684073	876.700530000001
0.400099999999972	876.612632637152	876.617540000001
0.402099999999972	876.529721403238	876.534930000001
0.404099999999972	876.447201395705	876.452720000001
0.406099999999972	876.365090931629	876.370940000001
0.408099999999971	876.28340750285	876.289590000001
0.410099999999971	876.202168302145	876.208710000001
0.412099999999971	876.121388128374	876.128310000001
0.414099999999971	876.041099249675	876.048410000001
0.41609999999997	875.961312730016	875.969040000001
0.41809999999997	875.882052028694	875.890220000001
0.42009999999997	875.803348573907	875.811970000001
0.42209999999997	875.725228475961	875.734320000001
0.42409999999997	875.647722116084	875.657300000001
0.426099999999969	875.570847821081	875.580930000001
0.428099999999969	875.494627218454	875.505240000001
0.430099999999969	875.419075135598	875.430250000001
0.432099999999969	875.344237273035	875.355990000001
0.434099999999969	875.270140694839	875.282500000001
0.436099999999968	875.196816127604	875.209800000001
0.438099999999968	875.124288826396	875.137930000001
0.440099999999968	875.052575124442	875.066910000001
0.442099999999968	874.981730459765	874.996780000001
0.444099999999967	874.911778875892	874.927570000001
0.446099999999967	874.842757530546	874.859310000001
0.448099999999967	874.774691402891	874.792040000001
0.450099999999967	874.707632235993	874.725790000001
0.452099999999967	874.641582755275	874.660600000001
0.454099999999966	874.576596954414	874.596490000001
0.456099999999966	874.512714562824	874.533520000001
0.458099999999966	874.449957583656	874.471700000001
0.460099999999966	874.388357455842	874.411090000001
0.462099999999965	874.327965374547	874.351700000001
0.464099999999965	874.26877753577	874.293590000001
