t	Sg	Sg	Sg
0.0099	9.10638225466541	0.00910651823542243	9.10651838016357E-06
0.01	9.10718476244947	0.00910732364834719	9.10732379596904E-06
0.0101	9.10800693476635	0.00910814880459648	9.10814895517655E-06
0.0102	9.10884905285087	0.00910899398701974	9.10899414063714E-06
0.0103	9.10971139922512	0.00910985947977605	9.10985963651147E-06
0.0104	9.11059425769598	0.0091107455683317	9.11074572826746E-06
0.0105	9.11149791335273	0.00911165253945802	9.11165270267807E-06
0.0106	9.11242265256485	0.00911258068122931	9.11258084781929E-06
0.0107	9.11336876298002	0.00911353028302095	9.11353045306818E-06
0.0108	9.1143365335222	0.00911450163550766	9.11450180910116E-06
0.0109	9.11532625438988	0.00911549503066186	9.11549520789241E-06
0.011	9.11633821705449	0.00911651076175229	9.1165109427124E-06
