t	Cl	Cl	Cl
1.24699999999988	5.5922670435011	5.03339065327221	5.00023572328405
1.24709999999988	5.5923248378201	5.03340014098896	5.00023577154117
1.24719999999988	5.59238263315613	5.03340963160995	5.00023581980464
1.24729999999988	5.59244042950924	5.03341912513628	5.00023586807449
1.24739999999988	5.59249822687947	5.03342862156905	5.0002359163507
1.24749999999988	5.5925560252669	5.03343812090937	5.00023596463328
1.24759999999988	5.59261382467158	5.03344762315835	5.00023601292222
1.24769999999988	5.59267162509356	5.0334571283171	5.00023606121754
1.24779999999988	5.59272942653291	5.03346663638672	5.00023610951923
1.24789999999988	5.59278722898968	5.03347614736832	5.00023615782728
1.24799999999988	5.59284503246392	5.03348566126301	5.00023620614171
1.24809999999988	5.5929028369557	5.0334951780719	5.00023625446251
1.24819999999988	5.59296064246506	5.0335046977961	5.00023630278969
1.24829999999988	5.59301844899208	5.03351422043672	5.00023635112324
1.24839999999988	5.5930762565368	5.03352374599486	5.00023639946317
1.24849999999988	5.59313406509928	5.03353327447164	5.00023644780948
1.24859999999988	5.59319187467958	5.03354280586818	5.00023649616216
1.24869999999988	5.59324968527775	5.03355234018557	5.00023654452122
1.24879999999988	5.59330749689386	5.03356187742495	5.00023659288666
1.24889999999988	5.59336530952796	5.03357141758741	5.00023664125849
1.24899999999988	5.5934231231801	5.03358096067407	5.00023668963669
1.24909999999988	5.59348093785035	5.03359050668605	5.00023673802128
1.24919999999988	5.59353875353875	5.03360005562446	5.00023678641226
1.24929999999988	5.59359657024538	5.03360960749042	5.00023683480962
1.24939999999988	5.59365438797028	5.03361916228504	5.00023688321336
1.24949999999988	5.59371220671351	5.03362872000943	5.0002369316235
1.24959999999988	5.59377002647512	5.03363828066472	5.00023698004002
1.24969999999988	5.59382784725518	5.03364784425202	5.00023702846293
1.24979999999988	5.59388566905374	5.03365741077245	5.00023707689223
1.24989999999988	5.59394349187087	5.03366698022712	5.00023712532792
1.24999999999988	5.5940013157066	5.03367655261716	5.00023717377001
1.25009999999988	5.59405914056101	5.03368612794368	5.00023722221849
1.25019999999988	5.59411696643414	5.03369570620781	5.00023727067336
1.25029999999988	5.59417479332607	5.03370528741066	5.00023731913463
1.25039999999988	5.59423262123683	5.03371487155336	5.00023736760229
1.25049999999988	5.59429045016649	5.03372445863701	5.00023741607636
1.25059999999988	5.59434828011511	5.03373404866276	5.00023746455682
1.25069999999988	5.59440611108274	5.03374364163172	5.00023751304368
1.25079999999988	5.59446394306943	5.033753237545	5.00023756153694
