t	wld	wld	wld
1.72819999999983	6.75076947393284E-06	0.000534121928637694	0.00351322906071992
1.72829999999983	6.75046275634079E-06	0.000534085333097714	0.00351319987459149
1.72839999999983	6.75015607923055E-06	0.000534048708836521	0.00351317071171753
1.72849999999983	6.7498494425931E-06	0.000534012055841341	0.00351314157209531
1.72859999999983	6.74954284642082E-06	0.000533975374099369	0.00351311245572195
1.72869999999983	6.749236290706E-06	0.000533938663597824	0.00351308336259476
1.72879999999983	6.74892977544018E-06	0.000533901924323918	0.00351305429271083
1.72889999999983	6.74862330061706E-06	0.000533865156264843	0.00351302524606748
1.72899999999983	6.74831686622631E-06	0.000533828359407827	0.00351299622266186
1.72909999999983	6.74801047226201E-06	0.000533791533740078	0.00351296722249124
1.72919999999983	6.74770411871653E-06	0.000533754679248825	0.00351293824555277
1.72929999999983	6.74739780558097E-06	0.000533717795921269	0.00351290929184368
1.72939999999983	6.7470915328478E-06	0.000533680883744655	0.00351288036136126
1.72949999999983	6.74678530050812E-06	0.000533643942706185	0.00351285145410263
1.72959999999983	6.7464791085546E-06	0.000533606972793105	0.00351282257006509
1.72969999999983	6.74617295698102E-06	0.000533569973992623	0.00351279370924583
1.72979999999983	6.74586684577717E-06	0.000533532946291982	0.00351276487164204
1.72989999999983	6.74556077493685E-06	0.000533495889678411	0.00351273605725105
1.72999999999983	6.74525474445142E-06	0.000533458804139149	0.00351270726607007
1.73009999999983	6.74494875431319E-06	0.000533421689661415	0.00351267849809629
1.73019999999983	6.74464280451465E-06	0.000533384546232461	0.0035126497533269
1.73029999999983	6.74433689504856E-06	0.00053334737383951	0.00351262103175922
1.73039999999983	6.74403102590575E-06	0.000533310172469829	0.00351259233339046
1.73049999999983	6.7437251970789E-06	0.000533272942110643	0.00351256365821782
1.73059999999983	6.74341940856049E-06	0.000533235682749216	0.0035125350062385
1.73069999999983	6.74311366034145E-06	0.000533198394372783	0.00351250637744981
1.73079999999983	6.74280795241632E-06	0.000533161076968599	0.00351247777184897
