t	fs	fs	fs
1.76999999999982	0.176761382905393	0.177807351118394	0.165165352088587
1.77009999999982	0.176771335967323	0.177817696882461	0.165176547443398
1.77019999999982	0.176781289000359	0.177828042519939	0.165187742724666
1.77029999999982	0.176791242004503	0.17783838803083	0.165198937932398
1.77039999999982	0.176801194979753	0.177848733415135	0.1652101330666
1.77049999999982	0.176811147926109	0.177859078672856	0.165221328127279
1.77059999999982	0.176821100843572	0.177869423803994	0.165232523114442
1.77069999999982	0.176831053732142	0.177879768808551	0.165243718028094
1.77079999999982	0.176841006591819	0.177890113686529	0.165254912868242
1.77089999999982	0.176850959422602	0.177900458437929	0.165266107634892
1.77099999999982	0.176860912224492	0.177910803062752	0.165277302328052
1.77109999999982	0.176870864997489	0.177921147561	0.165288496947728
1.77119999999982	0.176880817741592	0.177931491932675	0.165299691493926
1.77129999999982	0.176890770456802	0.177941836177778	0.165310885966652
1.77139999999982	0.176900723143119	0.177952180296311	0.165322080365913
1.77149999999982	0.176910675800542	0.177962524288275	0.165333274691716
1.77159999999982	0.176920628429072	0.177972868153673	0.165344468944066
1.77169999999982	0.176930581028709	0.177983211892505	0.165355663122971
1.77179999999982	0.176940533599452	0.177993555504774	0.165366857228437
1.77189999999982	0.176950486141302	0.17800389899048	0.165378051260471
1.77199999999982	0.176960438654258	0.178014242349626	0.165389245219078
1.77209999999982	0.176970391138322	0.178024585582214	0.165400439104265
1.77219999999982	0.176980343593491	0.178034928688244	0.165411632916038
1.77229999999982	0.176990296019768	0.178045271667718	0.165422826654405
1.77239999999982	0.17700024841715	0.178055614520639	0.165434020319372
1.77249999999982	0.17701020078564	0.178065957247008	0.165445213910944
1.77259999999982	0.177020153125236	0.178076299846827	0.165456407429128
1.77269999999982	0.177030105435939	0.178086642320096	0.165467600873932
1.77279999999982	0.177040057717748	0.178096984666819	0.16547879424536
1.77289999999982	0.177050009970664	0.178107326886997	0.165489987543421
1.77299999999982	0.177059962194686	0.178117668980631	0.165501180768119
1.77309999999982	0.177069914389815	0.178128010947723	0.165512373919462
1.77319999999982	0.17707986655605	0.178138352788275	0.165523566997455
1.77329999999982	0.177089818693392	0.178148694502289	0.165534760002106
1.77339999999982	0.17709977080184	0.178159036089766	0.16554595293342
1.77349999999982	0.177109722881395	0.178169377550708	0.165557145791405
1.77359999999982	0.177119674932057	0.178179718885118	0.165568338576066
1.77369999999982	0.177129626953825	0.178190060092996	0.16557953128741
1.77379999999982	0.177139578946699	0.178200401174345	0.165590723925443
1.77389999999982	0.17714953091068	0.178210742129166	0.165601916490172
1.77399999999982	0.177159482845767	0.178221082957461	0.165613108981603
1.77409999999982	0.177169434751961	0.178231423659232	0.165624301399742
1.77419999999982	0.177179386629262	0.178241764234481	0.165635493744596
1.77429999999982	0.177189338477668	0.17825210468321	0.165646686016171
1.77439999999982	0.177199290297181	0.17826244500542	0.165657878214474
1.77449999999982	0.177209242087801	0.178272785201113	0.165669070339511
1.77459999999982	0.177219193849527	0.178283125270292	0.165680262391288
1.77469999999982	0.177229145582359	0.178293465212957	0.165691454369811
1.77479999999982	0.177239097286298	0.178303805029112	0.165702646275088
1.77489999999982	0.177249048961343	0.178314144718757	0.165713838107124
1.77499999999982	0.177259000607495	0.178324484281895	0.165725029865926
1.77509999999982	0.177268952224753	0.178334823718528	0.1657362215515
1.77519999999982	0.177278903813117	0.178345163028657	0.165747413163852
1.77529999999982	0.177288855372587	0.178355502212285	0.165758604702989
1.77539999999982	0.177298806903164	0.178365841269412	0.165769796168917
1.77549999999982	0.177308758404847	0.178376180200043	0.165780987561643
1.77559999999982	0.177318709877637	0.178386519004177	0.165792178881172
1.77569999999982	0.177328661321533	0.178396857681818	0.165803370127511
1.77579999999982	0.177338612736535	0.178407196232966	0.165814561300667
1.77589999999982	0.177348564122643	0.178417534657625	0.165825752400646
1.77599999999982	0.177358515479857	0.178427872955796	0.165836943427454
1.77609999999982	0.177368466808178	0.178438211127481	0.165848134381097
1.77619999999982	0.177378418107605	0.178448549172681	0.165859325261583
1.77629999999982	0.177388369378138	0.1784588870914	0.165870516068916
1.77639999999982	0.177398320619778	0.178469224883639	0.165881706803103
1.77649999999982	0.177408271832523	0.1784795625494	0.165892897464152
1.77659999999982	0.177418223016375	0.178489900088686	0.165904088052067
1.77669999999982	0.177428174171333	0.178500237501497	0.165915278566855
1.77679999999982	0.177438125297397	0.178510574787836	0.165926469008524
1.77689999999982	0.177448076394567	0.178520911947706	0.165937659377078
1.77699999999982	0.177458027462843	0.178531248981108	0.165948849672524
1.77709999999982	0.177467978502225	0.178541585888044	0.165960039894869
1.77719999999982	0.177477929512714	0.178551922668517	0.165971230044119
1.77729999999982	0.177487880494308	0.178562259322528	0.16598242012028
1.77739999999982	0.177497831447009	0.17857259585008	0.165993610123358
1.77749999999982	0.177507782370815	0.178582932251174	0.166004800053359
1.77759999999982	0.177517733265728	0.178593268525813	0.166015989910291
1.77769999999982	0.177527684131746	0.178603604674	0.166027179694159
1.77779999999982	0.177537634968871	0.178613940695735	0.166038369404969
1.77789999999982	0.177547585777101	0.178624276591021	0.166049559042729
1.77799999999982	0.177557536556438	0.178634612359861	0.166060748607443
1.77809999999982	0.17756748730688	0.178644948002256	0.166071938099118
1.77819999999982	0.177577438028429	0.178655283518209	0.166083127517761
1.77829999999982	0.177587388721083	0.178665618907722	0.166094316863378
1.77839999999982	0.177597339384843	0.178675954170796	0.166105506135975
1.77849999999982	0.177607290019709	0.178686289307435	0.166116695335558
1.77859999999982	0.177617240625681	0.17869662431764	0.166127884462133
1.77869999999982	0.177627191202758	0.178706959201414	0.166139073515708
1.77879999999982	0.177637141750942	0.178717293958758	0.166150262496287
1.77889999999982	0.177647092270231	0.178727628589676	0.166161451403878
1.77899999999982	0.177657042760626	0.178737963094168	0.166172640238486
1.77909999999982	0.177666993222127	0.178748297472238	0.166183829000118
1.77919999999982	0.177676943654734	0.178758631723888	0.16619501768878
1.77929999999982	0.177686894058446	0.17876896584912	0.166206206304479
1.77939999999982	0.177696844433264	0.178779299847936	0.166217394847219
1.77949999999982	0.177706794779188	0.178789633720338	0.166228583317009
1.77959999999982	0.177716745096217	0.178799967466329	0.166239771713853
1.77969999999982	0.177726695384352	0.178810301085911	0.166250960037758
1.77979999999982	0.177736645643593	0.178820634579087	0.166262148288731
1.77989999999982	0.177746595873939	0.178830967945858	0.166273336466777
1.77999999999982	0.177756546075391	0.178841301186227	0.166284524571903
1.78009999999982	0.177766496247948	0.178851634300197	0.166295712604114
1.78019999999982	0.177776446391611	0.178861967287769	0.166306900563418
1.78029999999982	0.17778639650638	0.178872300148946	0.16631808844982
1.78039999999982	0.177796346592254	0.17888263288373	0.166329276263327
1.78049999999982	0.177806296649233	0.178892965492124	0.166340464003945
1.78059999999982	0.177816246677318	0.17890329797413	0.166351651671679
1.78069999999982	0.177826196676509	0.17891363032975	0.166362839266536
1.78079999999982	0.177836146646804	0.178923962558987	0.166374026788523
1.78089999999982	0.177846096588206	0.178934294661843	0.166385214237645
1.78099999999982	0.177856046500712	0.178944626638321	0.166396401613909
1.78109999999982	0.177865996384324	0.178954958488422	0.166407588917321
1.78119999999982	0.177875946239042	0.17896529021215	0.166418776147886
1.78129999999982	0.177885896064864	0.178975621809507	0.166429963305612
1.78139999999982	0.177895845861792	0.178985953280495	0.166441150390504
1.78149999999982	0.177905795629826	0.178996284625117	0.166452337402568
1.78159999999982	0.177915745368964	0.179006615843375	0.166463524341812
1.78169999999982	0.177925695079208	0.179016946935271	0.16647471120824
1.78179999999982	0.177935644760557	0.179027277900808	0.166485898001858
1.78189999999982	0.177945594413011	0.179037608739989	0.166497084722674
1.78199999999982	0.17795554403657	0.179047939452816	0.166508271370694
1.78209999999982	0.177965493631235	0.179058270039291	0.166519457945922
1.78219999999982	0.177975443197004	0.179068600499417	0.166530644448366
1.78229999999982	0.177985392733879	0.179078930833197	0.166541830878032
1.78239999999982	0.177995342241859	0.179089261040633	0.166553017234926
1.78249999999982	0.178005291720944	0.179099591121727	0.166564203519054
1.78259999999982	0.178015241171133	0.179109921076482	0.166575389730421
1.78269999999982	0.178025190592428	0.179120250904901	0.166586575869035
1.78279999999982	0.178035139984828	0.179130580606986	0.166597761934902
1.78289999999982	0.178045089348333	0.17914091018274	0.166608947928026
1.78299999999982	0.178055038682942	0.179151239632165	0.166620133848415
1.78309999999982	0.178064987988657	0.179161568955263	0.166631319696075
1.78319999999982	0.178074937265476	0.179171898152039	0.166642505471012
1.78329999999982	0.178084886513401	0.179182227222493	0.166653691173232
1.78339999999982	0.17809483573243	0.179192556166629	0.166664876802741
1.78349999999982	0.178104784922564	0.179202884984449	0.166676062359544
1.78359999999982	0.178114734083802	0.179213213675956	0.16668724784365
1.78369999999982	0.178124683216146	0.179223542241152	0.166698433255062
1.78379999999982	0.178134632319594	0.179233870680041	0.166709618593788
1.78389999999982	0.178144581394147	0.179244198992624	0.166720803859833
1.78399999999982	0.178154530439804	0.179254527178905	0.166731989053204
1.78409999999982	0.178164479456566	0.179264855238886	0.166743174173907
1.78419999999982	0.178174428444433	0.17927518317257	0.166754359221947
1.78429999999982	0.178184377403404	0.179285510979959	0.166765544197331
1.78439999999982	0.17819432633348	0.179295838661056	0.166776729100066
1.78449999999982	0.178204275234661	0.179306166215864	0.166787913930156
1.78459999999982	0.178214224106946	0.179316493644385	0.166799098687608
1.78469999999982	0.178224172950335	0.179326820946623	0.166810283372429
1.78479999999982	0.178234121764829	0.17933714812258	0.166821467984623
1.78489999999982	0.178244070550427	0.179347475172258	0.166832652524198
1.78499999999982	0.17825401930713	0.179357802095661	0.16684383699116
1.78509999999982	0.178263968034937	0.179368128892791	0.166855021385513
1.78519999999982	0.178273916733848	0.179378455563651	0.166866205707265
1.78529999999982	0.178283865403864	0.179388782108243	0.166877389956422
1.78539999999982	0.178293814044984	0.179399108526571	0.166888574132989
1.78549999999982	0.178303762657208	0.179409434818637	0.166899758236973
1.78559999999982	0.178313711240536	0.179419760984445	0.16691094226838
1.78569999999982	0.178323659794969	0.179430087023996	0.166922126227215
1.78579999999982	0.178333608320506	0.179440412937294	0.166933310113485
1.78589999999982	0.178343556817147	0.179450738724341	0.166944493927196
1.78599999999982	0.178353505284892	0.179461064385141	0.166955677668353
1.78609999999982	0.178363453723741	0.179471389919695	0.166966861336964
1.78619999999982	0.178373402133694	0.179481715328008	0.166978044933033
1.78629999999982	0.178383350514751	0.179492040610082	0.166989228456567
1.78639999999982	0.178393298866912	0.179502365765919	0.167000411907572
1.78649999999982	0.178403247190177	0.179512690795523	0.167011595286054
1.78659999999982	0.178413195484546	0.179523015698896	0.167022778592019
1.78669999999982	0.178423143750019	0.179533340476041	0.167033961825472
1.78679999999982	0.178433091986595	0.179543665126962	0.167045144986421
1.78689999999982	0.178443040194276	0.179553989651661	0.167056328074871
1.78699999999982	0.17845298837306	0.179564314050141	0.167067511090827
1.78709999999982	0.178462936522948	0.179574638322404	0.167078694034297
1.78719999999982	0.17847288464394	0.179584962468455	0.167089876905285
1.78729999999982	0.178482832736036	0.179595286488296	0.167101059703799
1.78739999999982	0.178492780799235	0.179605610381929	0.167112242429843
1.78749999999982	0.178502728833538	0.179615934149358	0.167123425083425
1.78759999999982	0.178512676838944	0.179626257790585	0.167134607664549
1.78769999999982	0.178522624815454	0.179636581305615	0.167145790173222
1.78779999999982	0.178532572763068	0.179646904694449	0.16715697260945
1.78789999999982	0.178542520681785	0.17965722795709	0.167168154973239
1.78799999999982	0.178552468571605	0.179667551093543	0.167179337264595
1.78809999999982	0.178562416432529	0.179677874103808	0.167190519483524
1.78819999999982	0.178572364264556	0.179688196987891	0.167201701630031
1.78829999999982	0.178582312067687	0.179698519745793	0.167212883704123
1.78839999999982	0.178592259841921	0.179708842377518	0.167224065705806
1.78849999999982	0.178602207587258	0.179719164883068	0.167235247635085
1.78859999999982	0.178612155303699	0.179729487262448	0.167246429491967
1.78869999999982	0.178622102991243	0.179739809515659	0.167257611276458
1.78879999999982	0.17863205064989	0.179750131642705	0.167268792988563
1.78889999999982	0.17864199827964	0.17976045364359	0.167279974628289
1.78899999999982	0.178651945880493	0.179770775518315	0.167291156195641
1.78909999999982	0.17866189345245	0.179781097266884	0.167302337690625
1.78919999999982	0.178671840995509	0.179791418889301	0.167313519113248
1.78929999999982	0.178681788509672	0.179801740385568	0.167324700463515
1.78939999999982	0.178691735994937	0.179812061755689	0.167335881741432
1.78949999999982	0.178701683451306	0.179822382999666	0.167347062947005
1.78959999999982	0.178711630878777	0.179832704117504	0.167358244080241
1.78969999999982	0.178721578277351	0.179843025109204	0.167369425141144
1.78979999999982	0.178731525647028	0.17985334597477	0.167380606129721
1.78989999999982	0.178741472987808	0.179863666714205	0.167391787045978
1.78999999999982	0.178751420299691	0.179873987327513	0.16740296788992
1.79009999999982	0.178761367582676	0.179884307814697	0.167414148661555
1.79019999999982	0.178771314836764	0.179894628175759	0.167425329360886
1.79029999999982	0.178781262061955	0.179904948410703	0.167436509987922
1.79039999999982	0.178791209258248	0.179915268519533	0.167447690542666
1.79049999999982	0.178801156425644	0.179925588502251	0.167458871025126
1.79059999999982	0.178811103564143	0.17993590835886	0.167470051435307
1.79069999999982	0.178821050673744	0.179946228089365	0.167481231773215
1.79079999999982	0.178830997754447	0.179956547693767	0.167492412038856
1.79089999999982	0.178840944806253	0.179966867172071	0.167503592232236
1.79099999999982	0.178850891829161	0.17997718652428	0.167514772353361
1.79109999999982	0.178860838823172	0.179987505750397	0.167525952402236
1.79119999999982	0.178870785788285	0.179997824850424	0.167537132378867
1.79129999999982	0.1788807327245	0.180008143824367	0.167548312283262
1.79139999999982	0.178890679631818	0.180018462672227	0.167559492115424
1.79149999999982	0.178900626510237	0.180028781394008	0.16757067187536
1.79159999999982	0.178910573359759	0.180039099989713	0.167581851563077
1.79169999999982	0.178920520180383	0.180049418459346	0.167593031178579
1.79179999999982	0.178930466972109	0.180059736802911	0.167604210721873
1.79189999999982	0.178940413734937	0.180070055020409	0.167615390192965
1.79199999999982	0.178950360468868	0.180080373111846	0.16762656959186
1.79209999999982	0.1789603071739	0.180090691077223	0.167637748918564
1.79219999999982	0.178970253850034	0.180101008916545	0.167648928173084
1.79229999999982	0.178980200497269	0.180111326629815	0.167660107355424
1.79239999999982	0.178990147115607	0.180121644217036	0.167671286465592
1.79249999999982	0.179000093705047	0.180131961678211	0.167682465503592
1.79259999999982	0.179010040265588	0.180142279013345	0.167693644469431
1.79269999999982	0.179019986797231	0.18015259622244	0.167704823363114
1.79279999999982	0.179029933299976	0.1801629133055	0.167716002184647
1.79289999999982	0.179039879773822	0.180173230262528	0.167727180934036
1.79299999999982	0.17904982621877	0.180183547093527	0.167738359611288
1.79309999999982	0.179059772634819	0.180193863798502	0.167749538216407
1.79319999999982	0.17906971902197	0.180204180377456	0.167760716749399
1.79329999999982	0.179079665380223	0.180214496830391	0.167771895210271
1.79339999999982	0.179089611709577	0.180224813157312	0.167783073599028
1.79349999999982	0.179099558010032	0.180235129358223	0.167794251915676
1.79359999999982	0.179109504281588	0.180245445433125	0.167805430160221
1.79369999999982	0.179119450524246	0.180255761382024	0.167816608332669
1.79379999999982	0.179129396738005	0.180266077204922	0.167827786433025
1.79389999999982	0.179139342922866	0.180276392901823	0.167838964461295
1.79399999999982	0.179149289078827	0.180286708472731	0.167850142417486
1.79409999999982	0.17915923520589	0.180297023917648	0.167861320301602
1.79419999999982	0.179169181304054	0.18030733923658	0.16787249811365
1.79429999999982	0.179179127373319	0.180317654429528	0.167883675853635
1.79439999999982	0.179189073413684	0.180327969496498	0.167894853521564
1.79449999999982	0.179199019425151	0.180338284437491	0.167906031117441
1.79459999999982	0.179208965407719	0.180348599252513	0.167917208641274
1.79469999999982	0.179218911361387	0.180358913941566	0.167928386093067
1.79479999999982	0.179228857286157	0.180369228504654	0.167939563472826
1.79489999999982	0.179238803182027	0.18037954294178	0.167950740780558
1.79499999999982	0.179248749048998	0.180389857252949	0.167961918016267
