t	fg	fg	fg
0.748299999999934	0.254508551179313	0.374030920910143	0.116625204167983
0.748399999999934	0.254524035071767	0.374105641024055	0.11667651041223
0.748499999999934	0.254539516527245	0.374180358685073	0.116727815318802
0.748599999999934	0.254554995546771	0.374255073892984	0.116779118885793
0.748699999999934	0.254570472131371	0.374329786647575	0.116830421111304
0.748799999999934	0.254585946282066	0.374404496948632	0.116881721993439
0.748899999999934	0.25460141799988	0.374479204795942	0.116933021530311
0.748999999999934	0.254616887285836	0.37455391018929	0.116984319720034
0.749099999999934	0.254632354140954	0.374628613128462	0.11703561656073
0.749199999999934	0.254647818566256	0.374703313613243	0.117086912050526
0.749299999999934	0.254663280562762	0.374778011643419	0.117138206187553
0.749399999999934	0.254678740131493	0.374852707218774	0.117189498969949
0.749499999999934	0.254694197273466	0.374927400339092	0.117240790395856
0.749599999999934	0.254709651989702	0.375002091004157	0.117292080463422
0.749699999999934	0.254725104281217	0.375076779213755	0.117343369170799
0.749799999999934	0.25474055414903	0.375151464967668	0.117394656516146
0.749899999999934	0.254756001594157	0.37522614826568	0.117445942497626
0.749999999999934	0.254771446617614	0.375300829107574	0.117497227113407
0.750099999999934	0.254786889220417	0.375375507493132	0.117548510361663
0.750199999999934	0.254802329403582	0.375450183422139	0.117599792240572
0.750299999999934	0.254817767168122	0.375524856894375	0.11765107274832
0.750399999999934	0.254833202515051	0.375599527909623	0.117702351883094
0.750499999999934	0.254848635445383	0.375674196467665	0.11775362964309
0.750599999999934	0.25486406596013	0.375748862568282	0.117804906026506
0.750699999999934	0.254879494060304	0.375823526211255	0.117856181031547
0.750799999999934	0.254894919746917	0.375898187396367	0.117907454656424
0.750899999999934	0.254910343020979	0.375972846123396	0.11795872689935
0.750999999999934	0.254925763883502	0.376047502392125	0.118009997758545
0.751099999999934	0.254941182335494	0.376122156202332	0.118061267232235
0.751199999999934	0.254956598377965	0.376196807553799	0.11811253531865
0.751299999999934	0.254972012011923	0.376271456446304	0.118163802016024
0.751399999999934	0.254987423238376	0.376346102879627	0.118215067322598
0.751499999999934	0.255002832058331	0.376420746853548	0.118266331236617
0.751599999999934	0.255018238472796	0.376495388367844	0.11831759375633
0.751699999999934	0.255033642482775	0.376570027422295	0.118368854879995
0.751799999999934	0.255049044089276	0.376644664016679	0.118420114605869
0.751899999999934	0.255064443293302	0.376719298150775	0.11847137293222
0.751999999999934	0.255079840095858	0.376793929824359	0.118522629857317
0.752099999999933	0.255095234497948	0.37686855903721	0.118573885379435
0.752199999999933	0.255110626500575	0.376943185789104	0.118625139496854
0.752299999999933	0.255126016104742	0.377017810079819	0.11867639220786
0.752399999999933	0.255141403311451	0.377092431909132	0.118727643510743
0.752499999999933	0.255156788121702	0.377167051276819	0.118778893403798
0.752599999999933	0.255172170536497	0.377241668182656	0.118830141885324
0.752699999999933	0.255187550556837	0.37731628262642	0.118881388953627
0.752799999999933	0.25520292818372	0.377390894607885	0.118932634607017
0.752899999999933	0.255218303418146	0.377465504126827	0.118983878843807
0.752999999999933	0.255233676261113	0.377540111183023	0.119035121662319
0.753099999999933	0.25524904671362	0.377614715776245	0.119086363060876
0.753199999999933	0.255264414776663	0.37768931790627	0.119137603037807
0.753299999999933	0.255279780451239	0.377763917572871	0.119188841591448
0.753399999999933	0.255295143738345	0.377838514775822	0.119240078720136
0.753499999999933	0.255310504638975	0.377913109514898	0.119291314422216
0.753599999999933	0.255325863154126	0.377987701789872	0.119342548696037
0.753699999999933	0.255341219284791	0.378062291600518	0.119393781539952
0.753799999999933	0.255356573031964	0.378136878946607	0.11944501295232
0.753899999999933	0.255371924396639	0.378211463827914	0.119496242931504
0.753999999999933	0.255387273379807	0.378286046244211	0.119547471475871
0.754099999999933	0.255402619982462	0.37836062619527	0.119598698583795
0.754199999999933	0.255417964205594	0.378435203680862	0.119649924253653
0.754299999999933	0.255433306050195	0.378509778700761	0.119701148483827
0.754399999999933	0.255448645517254	0.378584351254737	0.119752371272705
0.754499999999933	0.255463982607762	0.378658921342561	0.119803592618678
0.754599999999933	0.255479317322708	0.378733488964005	0.119854812520144
0.754699999999933	0.25549464966308	0.378808054118839	0.119906030975502
0.754799999999933	0.255509979629867	0.378882616806834	0.119957247983159
0.754899999999933	0.255525307224055	0.37895717702776	0.120008463541526
0.754999999999933	0.255540632446631	0.379031734781387	0.120059677649019
0.755099999999933	0.255555955298583	0.379106290067483	0.120110890304057
0.755199999999933	0.255571275780895	0.37918084288582	0.120162101505064
0.755299999999933	0.255586593894552	0.379255393236166	0.120213311250472
0.755399999999933	0.25560190964054	0.37932994111829	0.120264519538713
0.755499999999933	0.255617223019842	0.379404486531961	0.120315726368226
