t	Rg	Rg	Rg
1.85669999999981	7.6586968622442E-05	0.00140543759249535	0.00981620977037055
1.85679999999981	7.65876073437417E-05	0.00140548353924283	0.00981655917732413
1.85689999999981	7.65882460389918E-05	0.00140552947782911	0.00981690858416391
1.85699999999981	7.65888847081956E-05	0.00140557540825042	0.00981725799089195
1.85709999999981	7.65895233513563E-05	0.00140562133050301	0.00981760739751032
1.85719999999981	7.6590161968477E-05	0.00140566724458312	0.0098179568040211
1.85729999999981	7.65908005595609E-05	0.00140571315048698	0.00981830621042634
1.85739999999981	7.65914391246113E-05	0.00140575904821083	0.00981865561672813
1.85749999999981	7.65920776636312E-05	0.00140580493775091	0.00981900502292851
1.85759999999981	7.6592716176624E-05	0.00140585081910348	0.00981935442902957
1.85769999999981	7.65933546635926E-05	0.00140589669226475	0.00981970383503337
1.85779999999981	7.65939931245405E-05	0.00140594255723099	0.00982005324094197
1.85789999999981	7.65946315594706E-05	0.00140598841399843	0.00982040264675744
1.85799999999981	7.65952699683863E-05	0.00140603426256331	0.00982075205248186
1.85809999999981	7.65959083512907E-05	0.00140608010292187	0.00982110145811728
1.85819999999981	7.65965467081869E-05	0.00140612593507037	0.00982145086366578
1.85829999999981	7.65971850390782E-05	0.00140617175900504	0.00982180026912941
1.85839999999981	7.65978233439677E-05	0.00140621757472213	0.00982214967451026
1.85849999999981	7.65984616228586E-05	0.00140626338221789	0.00982249907981037
1.85859999999981	7.6599099875754E-05	0.00140630918148855	0.00982284848503182
1.85869999999981	7.65997381026573E-05	0.00140635497253037	0.00982319789017668
1.85879999999981	7.66003763035715E-05	0.0014064007553396	0.00982354729524701
1.85889999999981	7.66010144784997E-05	0.00140644652991248	0.00982389670024487
1.85899999999981	7.66016526274453E-05	0.00140649229624525	0.00982424610517234
1.85909999999981	7.66022907504114E-05	0.00140653805433417	0.00982459551003147
1.85919999999981	7.6602928847401E-05	0.00140658380417549	0.00982494491482433
1.85929999999981	7.66035669184175E-05	0.00140662954576546	0.009825294319553
1.85939999999981	7.6604204963464E-05	0.00140667527910032	0.00982564372421952
1.85949999999981	7.66048429825436E-05	0.00140672100417632	0.00982599312882598
1.85959999999981	7.66054809756596E-05	0.00140676672098972	0.00982634253337443
1.85969999999981	7.6606118942815E-05	0.00140681242953677	0.00982669193786693
1.85979999999981	7.66067568840131E-05	0.00140685812981373	0.00982704134230556
1.85989999999981	7.66073947992571E-05	0.00140690382181683	0.00982739074669237
1.85999999999981	7.66080326885501E-05	0.00140694950554234	0.00982774015102944
1.86009999999981	7.66086705518952E-05	0.00140699518098651	0.00982808955531882
1.86019999999981	7.66093083892957E-05	0.0014070408481456	0.00982843895956258
1.86029999999981	7.66099462007547E-05	0.00140708650701586	0.00982878836376278
1.86039999999981	7.66105839862754E-05	0.00140713215759354	0.00982913776792149
1.86049999999981	7.6611221745861E-05	0.0014071777998749	0.00982948717204076
1.86059999999981	7.66118594795146E-05	0.0014072234338562	0.00982983657612268
1.86069999999981	7.66124971872393E-05	0.00140726905953369	0.00983018598016929
1.86079999999981	7.66131348690384E-05	0.00140731467690364	0.00983053538418266
1.86089999999981	7.6613772524915E-05	0.00140736028596229	0.00983088478816486
1.86099999999981	7.66144101548723E-05	0.00140740588670592	0.00983123419211794
1.86109999999981	7.66150477589135E-05	0.00140745147913078	0.00983158359604397
1.86119999999981	7.66156853370416E-05	0.00140749706323312	0.00983193299994502
1.86129999999981	7.66163228892599E-05	0.00140754263900921	0.00983228240382314
1.86139999999981	7.66169604155716E-05	0.00140758820645532	0.0098326318076804
1.86149999999981	7.66175979159797E-05	0.00140763376556769	0.00983298121151886
1.86159999999981	7.66182353904875E-05	0.0014076793163426	0.00983333061534059
1.86169999999981	7.66188728390981E-05	0.00140772485877631	0.00983368001914764
1.86179999999981	7.66195102618146E-05	0.00140777039286508	0.00983402942294207
1.86189999999981	7.66201476586403E-05	0.00140781591860518	0.00983437882672596
1.86199999999981	7.66207850295783E-05	0.00140786143599286	0.00983472823050135
