t	fg2D	fg2D	fg2D
0.733199999999936	0.399113744726616	0.508605583754104	0.22799350120894
0.733299999999936	0.39913048522757	0.508675773714539	0.228065376079585
0.733399999999936	0.399147222635106	0.508745956567119	0.22813723825553
0.733499999999936	0.399163956950609	0.508816132313488	0.228209087740587
0.733599999999936	0.399180688175461	0.508886300955292	0.228280924538569
0.733699999999936	0.399197416311045	0.508956462494173	0.228352748653297
0.733799999999936	0.399214141358743	0.509026616931776	0.228424560088592
0.733899999999935	0.399230863319935	0.509096764269739	0.228496358848281
0.733999999999935	0.399247582196002	0.509166904509705	0.228568144936194
0.734099999999935	0.399264297988322	0.509237037653311	0.228639918356166
0.734199999999935	0.399281010698273	0.509307163702196	0.228711679112034
0.734299999999935	0.399297720327233	0.509377282657996	0.228783427207638
0.734399999999935	0.399314426876579	0.509447394522346	0.228855162646825
0.734499999999935	0.399331130347684	0.509517499296882	0.228926885433442
0.734599999999935	0.399347830741926	0.509587596983235	0.228998595571342
0.734699999999935	0.399364528060676	0.509657687583039	0.22907029306438
0.734799999999935	0.399381222305309	0.509727771097923	0.229141977916418
0.734899999999935	0.399397913477197	0.509797847529519	0.229213650131316
0.734999999999935	0.39941460157771	0.509867916879454	0.229285309712943
0.735099999999935	0.399431286608219	0.509937979149355	0.229356956665167
0.735199999999935	0.399447968570093	0.51000803434085	0.229428590991864
0.735299999999935	0.399464647464703	0.510078082455564	0.229500212696911
0.735399999999935	0.399481323293414	0.51014812349512	0.229571821784187
0.735499999999935	0.399497996057595	0.510218157461141	0.229643418257578
0.735599999999935	0.399514665758611	0.51028818435525	0.229715002120972
0.735699999999935	0.399531332397828	0.510358204179067	0.229786573378259
0.735799999999935	0.39954799597661	0.51042821693421	0.229858132033334
0.735899999999935	0.399564656496321	0.5104982226223	0.229929678090096
0.735999999999935	0.399581313958324	0.510568221244953	0.230001211552445
0.736099999999935	0.39959796836398	0.510638212803785	0.230072732424287
0.736199999999935	0.399614619714651	0.51070819730041	0.230144240709531
0.736299999999935	0.399631268011697	0.510778174736444	0.230215736412087
0.736399999999935	0.399647913256477	0.510848145113499	0.230287219535872
