t	dT
0.0961974827052055	0.100987631311677	0.0947574827052055
0.0964201362932282	0.101128173379751	0.0949201362932282
0.0966427898812508	0.101269893046576	0.09508
0.0968654434692735	0.10141275395652	0.09523
0.0970880970572962	0.101556720935268	0.0953880970572962
0.0973107506453189	0.101701759921474	0.0955507506453189
0.0975334042333416	0.101848921717468	0.0957134042333416
0.0977560578213643	0.101998157931093	0.0958680289106821
0.097978711409387	0.102146141826764	0.096028711409387
0.0982013649974097	0.102295088768054	0.09619
0.0984240185854324	0.102447188558244	0.09635
0.0986466721734551	0.102597919630125	0.0965066721734551
0.0988693257614778	0.102749543970391	0.0966693257614778
0.0990919793495005	0.102902034441176	0.09683
0.0993146329375231	0.10305536477233	0.0969923164687616
0.0995372865255458	0.103209509532388	0.0971472865255458
0.0997599401135685	0.103364444100614	0.0973099401135685
0.0999825937015912	0.103520144640041	0.0974725937015912
0.100205247289614	0.103676588071481	0.097627623644807
0.100427900877637	0.103833752048502	0.0977879008776366
0.100650554465659	0.103993824920735	0.0979505544656593
0.100873208053682	0.104144580894982	0.09812
0.101095861641705	0.104238243101289	0.0982779308208523
0.101318515229727	0.104330295280186	0.0984385152297274
0.10154116881775	0.104425378429954	0.09860116881775
0.101763822405773	0.104523389402047	0.09877
0.101986475993795	0.104624228866041	0.0989264759937954
0.102209129581818	0.104727801149736	0.0990891295818181
0.102431783169841	0.104834014087317	0.09926
0.102654436757864	0.104942778874969	0.0994222183789318
0.102877090345886	0.105054009933649	0.0995770903458862
0.103099743933909	0.105167624778414	0.0997497439339089
0.103322397521932	0.105283543894098	0.0999123975219316
0.103545051109954	0.105401690616816	0.10007
0.103767704697977	0.105521991021027	0.100237704697977
0.103990358286	0.105646721688771	0.100400358286
0.104213011874022	0.105771045926774	0.100573011874022
0.104435665462045	0.105897331481976	0.100727832731023
0.104658319050068	0.106025513859123	0.100898319050068
0.10488097263809	0.106155530828297	0.10106097263809
0.105103626226113	0.106287322338544	0.101233626226113
0.105326279814136	0.106420830435321	0.10139
0.105548933402158	0.106555999181507	0.101558933402158
0.105771586990181	0.106693103418904	0.10173
0.105994240578204	0.106831297647079	0.101892120289102
0.106216894166227	0.106971011694609	0.102056894166227
0.106439547754249	0.107112196453165	0.102229547754249
0.106662201342272	0.107254804503156	0.102392201342272
0.106884854930295	0.107399812585928	0.102562427465147
0.107107508518317	0.10754504015223	0.102727508518317
0.10733016210634	0.107691745612941	0.10289016210634
0.107552815694363	0.107839508900753	0.103062815694363
0.107775469282385	0.107989551352048	0.103227734641193
0.107998122870408	0.108139685265603	0.103398122870408
0.108220776458431	0.108290966464412	0.103560776458431
0.108443430046453	0.108443358570509	0.103733430046453
0.108666083634476	0.108596826436067	0.103898041817238
0.108888737222499	0.108751336099911	0.104068737222499
0.109111390810522	0.108906854745698	0.104241390810522
0.109334044398544	0.109063350661738	0.10441
0.109556697986567	0.109220119313255	0.10457
0.10977935157459	0.109378429973506	0.10474
0.110002005162612	0.109537634731955	0.104912005162612
0.110224658750635	0.109697705740225	0.105082329375318
0.110447312338658	0.109857960303321	0.105247312338658
0.11066996592668	0.110020575006933	0.10541996592668
0.110892619514703	0.110182942109202	0.105592619514703
0.111115273102726	0.11034609140947	0.105757636551363
0.111337926690748	0.110509998833958	0.105927926690748
0.111560580278771	0.110674641111041	0.106100580278771
0.111783233866794	0.110839995743799	0.106273233866794
0.112005887454817	0.111006040983629	0.106437943727408
0.112228541042839	0.11117275580472	0.106608541042839
0.112451194630862	0.111340119879535	0.106781194630862
0.112673848218885	0.111508113555075	0.10696
0.112896501806907	0.111675880966696	0.107126501806907
0.11311915539493	0.111846141446776	0.10729915539493
0.113341808982953	0.11201570176999	0.107471808982953
0.113564462570975	0.112185834538075	0.107642231285488
0.113787116158998	0.112356522674132	0.107807116158998
0.114009769747021	0.112527749666285	0.10798
0.114232423335043	0.112699499547144	0.108162423335043
0.114455076923066	0.112871756863988	0.108327538461533
0.114677730511089	0.113044506659141	0.108497730511089
0.114900384099112	0.113217734465696	0.108670384099112
0.115123037687134	0.113391426292466	0.108853037687134
0.115345691275157	0.113565568602188	0.109017845637578
0.11556834486318	0.113740148301664	0.10918834486318
0.115790998451202	0.113915152729193	0.10937
0.116013652039225	0.114090569637733	0.109543652039225
0.116236305627248	0.114266387172295	0.109706305627248
0.11645895921527	0.114442593861228	0.10988895921527
0.116681612803293	0.114619178609471	0.110061612803293
0.116904266391316	0.114795286499343	0.110232133195658
0.117126919979338	0.114972564570094	0.110406919979338
0.117349573567361	0.115150192304516	0.110579573567361
0.117572227155384	0.115328159914352	0.110762227155384
0.117794880743407	0.11550645793335	0.110932440371703
0.118017534331429	0.115685077206666	0.111107534331429
0.118240187919452	0.115864008880599	0.111280187919452
0.118462841507475	0.116044264990588	0.11146
0.118685495095497	0.116223772328774	0.111627747547749
0.11890814868352	0.116403575663418	0.11180814868352
0.119130802271543	0.116583667008389	0.111980802271543
0.119353455859565	0.116764038627927	0.11216
0.119576109447588	0.116944683031633	0.112328054723794
0.119798763035611	0.117125592975401	0.112508763035611
0.120021416623633	0.117306761453535	0.112681416623633
0.120244070211656	0.117488181690959	0.112862035105828
0.120466723799679	0.117669847130544	0.113036723799679
0.120689377387701	0.117851751421213	0.113209377387701
0.120912030975724	0.118033025491948	0.113392030975724
0.121134684563747	0.118215346738018	0.113562342281873
0.12135733815177	0.118397891907021	0.11373733815177
0.121579991739792	0.11858065535559	0.113919991739792
0.121802645327815	0.11876363162465	0.114092645327815
0.122025298915838	0.11894886637029	0.114267649457919
0.12224795250386	0.11913219403042	0.11444795250386
0.122470606091883	0.11931572762688	0.114630606091883
0.122693259679906	0.119499462107919	0.114803259679906
0.122915913267928	0.119683392588572	0.114977956633964
0.123138566855951	0.119868557932702	0.115158566855951
0.123361220443974	0.120052837078899	0.115341220443974
0.123583874031996	0.120238272967572	0.11552
0.123806527620019	0.120422718948021	0.115686527620019
0.124029181208042	0.120607354582374	0.115869181208042
0.124251834796065	0.120792175402127	0.116051834796065
0.124474488384087	0.120977177072255	0.116232244192044
0.12469714197211	0.121162355373934	0.11640714197211
0.124919795560133	0.121347706222339	0.116589795560133
0.125142449148155	0.121533225668012	0.116762449148155
0.125365102736178	0.121718909892461	0.11694
0.125587756324201	0.121904755203252	0.117117756324201
0.125810409912223	0.122090758022464	0.117300409912223
0.126033063500246	0.122276914873086	0.117483063500246
0.126255717088269	0.122463222388589	0.117657858544134
0.126478370676291	0.122651710310056	0.117838370676291
0.126701024264314	0.1228382478877	0.118021024264314
0.126923677852337	0.123024933139326	0.118203677852337
0.12714633144036	0.12321176604657	0.11837633144036
0.127368985028382	0.123398744098295	0.118558985028382
0.127591638616405	0.123587894099797	0.118741638616405
0.127814292204428	0.123775091652924	0.118922146102214
0.12803694579245	0.123962430749773	0.11909694579245
0.128259599380473	0.124149908504974	0.119279599380473
0.128482252968496	0.124337522127791	0.119462252968496
0.128704906556518	0.124525268900708	0.11965
0.128927560144541	0.124713146182133	0.119827560144541
0.129150213732564	0.12490115141835	0.120010213732564
0.129372867320586	0.125043653620891	0.120192867320586
0.129595520908609	0.125167920276461	0.120367760454305
0.129818174496632	0.125293733729966	0.120548174496632
0.130040828084655	0.12542274288682	0.120730828084655
0.130263481672677	0.125554069977847	0.12092
0.1304861352607	0.12568763359713	0.1210961352607
0.130708788848723	0.125825455797746	0.121278788848723
0.130931442436745	0.125963188149907	0.121461442436745
0.131154096024768	0.126102928718098	0.121642048012384
0.131376749612791	0.126245456328643	0.121826749612791
0.131599403200813	0.126388623176346	0.122009403200813
0.131822056788836	0.126533617979849	0.122192056788836
0.132044710376859	0.126680377220458	0.122372355188429
0.132267363964881	0.12682883972073	0.122557363964881
0.132490017552904	0.126978946553329	0.122740017552904
0.132712671140927	0.127130640929447	0.122922671140927
0.13293532472895	0.127283868149398	0.123107662364475
0.133157978316972	0.127438575485081	0.123287978316972
0.133380631904995	0.127594712139897	0.123470631904995
0.133603285493018	0.127752229206686	0.123663285493018
0.13382593908104	0.127910175327292	0.12383796954052
0.134048592669063	0.128070152189918	0.124028592669063
0.134271246257086	0.128231379567667	0.124211246257086
0.134493899845108	0.128393815059247	0.124391949922554
0.134716553433131	0.128557417800371	0.124576553433131
0.134939207021154	0.12872214840634	0.124759207021154
0.135161860609176	0.128888212945369	0.124951860609176
0.135384514197199	0.129054606744322	0.1251322570986
