t;TC1;TC2;TC3;TC4;
23.402000;672.829040;661.612974;627.416811;-273.000000;
23.502000;672.833182;661.604780;627.385031;-273.000000;
23.602000;672.782119;661.479637;627.170700;-273.000000;
23.702000;672.762632;661.555632;627.106285;-273.000000;
23.802000;672.805756;661.383293;626.991680;-273.000000;
23.902000;672.609983;661.213735;626.811199;-273.000000;
24.002000;672.660859;661.206208;626.781411;-273.000000;
24.102000;672.652019;661.094177;626.582159;-273.000000;
24.202000;672.670237;660.997118;626.402896;-273.000000;
24.302000;672.596105;661.038146;626.232102;-273.000000;
24.402000;672.613378;660.881343;626.243512;-273.000000;
24.502000;672.591579;660.979922;626.137358;-273.000000;
24.602000;672.527977;660.812534;625.863371;-273.000000;
24.702000;672.463908;660.573084;625.767634;-273.000000;
24.802000;672.474957;660.568464;625.747396;-273.000000;
24.902000;672.510197;660.499720;625.500062;-273.000000;
25.002000;672.421471;660.432301;625.410921;-273.000000;
25.102000;672.458541;660.407427;625.448728;-273.000000;
25.202000;672.377647;660.301200;625.189829;-273.000000;
25.302000;672.384003;660.155076;625.142231;-273.000000;
25.402000;672.389256;660.138247;625.035635;-273.000000;
25.502000;672.260366;659.876463;624.891491;-273.000000;
25.602000;672.209132;659.859404;624.844454;-273.000000;
25.702000;672.227247;659.925714;624.777058;-273.000000;
25.802000;672.087340;659.829040;624.611561;-273.000000;
25.902000;672.069469;659.749359;624.481125;-273.000000;
26.002000;672.108369;659.614474;624.380472;-273.000000;
26.102000;672.071386;659.536143;624.299327;-273.000000;
26.202000;671.935200;659.419828;624.117579;-273.000000;
26.302000;671.998058;659.391457;624.102956;-273.000000;
26.402000;672.000633;659.367983;624.131379;-273.000000;
26.502000;671.847417;659.286505;623.980220;-273.000000;
26.602000;671.908546;659.190878;623.864949;-273.000000;
26.702000;671.770602;659.084978;623.650364;-273.000000;
26.802000;671.846208;659.053998;623.573855;-273.000000;
26.902000;671.819413;658.998076;623.442580;-273.000000;
27.002000;671.702481;658.857114;623.389546;-273.000000;
27.102000;671.661712;658.813772;623.405468;-273.000000;
27.202000;671.713981;658.730852;623.300139;-273.000000;
27.302000;671.673383;658.664211;622.928113;-273.000000;
27.402000;671.652061;658.760660;622.962625;-273.000000;
27.502000;671.718261;658.579164;622.746474;-273.000000;
27.602000;671.628371;658.460491;622.656281;-273.000000;
27.702000;671.648421;658.432550;622.678180;-273.000000;
27.802000;671.543295;658.363639;622.554042;-273.000000;
27.902000;671.453468;658.162642;622.534524;-273.000000;
28.002000;671.513748;658.279395;622.444471;-273.000000;
28.102000;671.422886;658.143404;622.152202;-273.000000;
28.202000;671.351894;658.016455;622.141042;-273.000000;
28.302000;671.413176;658.087530;622.073345;-273.000000;
28.402000;671.421171;657.942714;621.844820;-273.000000;
28.502000;671.421025;657.805949;621.829162;-273.000000;
28.602000;671.413742;657.741399;621.744835;-273.000000;
28.702000;671.236552;657.546259;621.522919;-273.000000;
28.802000;671.215421;657.507136;621.528187;-273.000000;
28.902000;671.174721;657.470885;621.495878;-273.000000;
29.002000;671.188315;657.351079;621.341884;-273.000000;
29.102000;671.106661;657.281091;621.235301;-273.000000;
29.202000;671.154849;657.283709;621.177433;-273.000000;
29.302000;671.178992;657.123136;620.952320;-273.000000;
29.402000;671.077411;657.119558;620.971814;-273.000000;
29.502000;671.094607;657.067792;620.948547;-273.000000;
29.602000;670.896726;656.844567;620.735927;-273.000000;
29.702000;670.897816;656.818852;620.657764;-273.000000;
29.802000;670.918044;656.810211;620.596438;-273.000000;
29.902000;670.802004;656.639835;620.551293;-273.000000;
30.002000;670.814676;656.713682;620.523099;-273.000000;
30.102000;670.867146;656.555007;620.179249;-273.000000;
30.202000;670.684915;656.502016;620.181571;-273.000000;
30.302000;670.793408;656.444317;620.208748;-273.000000;
30.402000;670.600737;656.387622;620.047624;-273.000000;
30.502000;670.583301;656.370588;619.970367;-273.000000;
30.602000;670.614633;656.361903;619.936101;-273.000000;
30.702000;670.512382;656.205743;619.779586;-273.000000;
30.802000;670.487453;656.148998;619.662200;-273.000000;
30.902000;670.451255;655.993633;619.589741;-273.000000;
31.002000;670.371833;655.801258;619.532095;-273.000000;
31.102000;670.402887;655.879472;619.626811;-273.000000;
31.202000;670.352872;655.826415;619.270844;-273.000000;
31.302000;670.304469;655.689249;619.284108;-273.000000;
31.402000;670.388140;655.613104;619.210860;-273.000000;
31.502000;670.270538;655.490937;619.007053;-273.000000;
31.602000;670.228786;655.507082;618.943346;-273.000000;
31.702000;670.290491;655.420672;618.961360;-273.000000;
31.802000;670.191540;655.416298;618.853387;-273.000000;
31.902000;670.073038;655.248397;618.758269;-273.000000;
32.002000;670.055924;655.207441;618.690919;-273.000000;
32.102000;670.094479;655.153487;618.515724;-273.000000;
32.202000;669.971685;654.945987;618.497675;-273.000000;
32.302000;669.910823;654.924923;618.567378;-273.000000;
32.402000;669.918664;654.927515;618.333908;-273.000000;
32.502000;669.842384;654.819886;618.173649;-273.000000;
32.602000;669.887319;654.897629;618.233919;-273.000000;
32.702000;669.863889;654.688330;617.962728;-273.000000;
32.802000;669.800272;654.620383;617.927653;-273.000000;
32.902000;669.788019;654.556858;617.796814;-273.000000;
33.002000;669.730227;654.485247;617.922678;-273.000000;
33.102000;669.681158;654.372724;617.884922;-273.000000;
33.202000;669.668502;654.244921;617.679458;-273.000000;
33.302000;669.684471;654.245427;617.637345;-273.000000;
33.402000;669.465318;654.071252;617.453471;-273.000000;
33.502000;669.630860;654.045765;617.507506;-273.000000;
33.602000;669.511775;653.948288;617.232349;-273.000000;
33.702000;669.461304;653.945077;617.222252;-273.000000;
33.802000;669.432018;653.752018;617.223101;-273.000000;
33.902000;669.395988;653.836889;617.005384;-273.000000;
34.002000;669.314111;653.761889;617.058429;-273.000000;
34.102000;669.337937;653.661096;616.773809;-273.000000;
34.202000;669.374583;653.518702;616.795971;-273.000000;
34.302000;669.324987;653.545263;616.708407;-273.000000;
34.402000;669.249961;653.455370;616.546680;-273.000000;
