t	fsi_A	fsi_V
0.760099999999933	0.514311539853135	0.510104529731344	0.34348855564329
0.762099999999932	0.513819903572007	0.509591583382489	0.343011425888283
0.764099999999932	0.513320901182545	0.509057356277377	0.342542293962425
0.766099999999932	0.512817178631869	0.508499462730093	0.342080960443266
0.768099999999932	0.512297745541507	0.507900604773249	0.341550908258336
0.770099999999932	0.511787524582287	0.507301922419293	0.341105223315672
0.772099999999931	0.511302766188038	0.506728138771747	0.340617256138806
0.774099999999931	0.510820279870099	0.506150076582415	0.340186219739277
0.776099999999931	0.510327688290682	0.505540285162478	0.339688169659404
0.778099999999931	0.509792740479423	0.504945902137499	0.339222873900329
0.78009999999993	0.509268559112986	0.504390600771366	0.338812918242638
0.78209999999993	0.508773069095979	0.50386404793121	0.338337182448038
0.78409999999993	0.508291787191952	0.503345294662537	0.337893002936316
0.78609999999993	0.507791927806127	0.502792241344044	0.33743159690143
0.78809999999993	0.50729885044019	0.502230902155941	0.337000987445322
0.790099999999929	0.506827598351239	0.501691683862637	0.336576828841426
0.792099999999929	0.506360495950349	0.501148740134385	0.336135621482666
0.794099999999929	0.505919568974037	0.500633732490129	0.335655172413826
0.796099999999929	0.50548909519903	0.500125172253909	0.335250222496096
0.798099999999928	0.505040547267036	0.499576868132031	0.33482840638804
0.800099999999928	0.504603154596294	0.499039550919706	0.334367831601722
0.802099999999928	0.50419166979715	0.498525864802402	0.333980842655219
0.804099999999928	0.503789095079172	0.49801645258196	0.333532854482607
0.806099999999928	0.503339712715175	0.49753278939231	0.333157234365698
0.808099999999927	0.502896540869425	0.497056944193592	0.332721311475441
0.810099999999927	0.502435951933667	0.496541890434626	0.332291463176433
0.812099999999927	0.501981850243113	0.496028886980096	0.331932229694759
0.814099999999927	0.501549666434986	0.495535832660128	0.331513711386536
0.816099999999926	0.501121144029907	0.495038716217646	0.331100905727755
0.818099999999926	0.500647163111039	0.494561125234004	0.330693696547355
0.820099999999926	0.500172918898456	0.494084952689721	0.330291970802919
0.822099999999926	0.499718756053163	0.493619643018479	0.329916239529925
0.824099999999926	0.499279012279534	0.493171514672031	0.329524992238419
0.826099999999925	0.498864063889868	0.492746019174862	0.329138909449789
0.828099999999925	0.49845379746343	0.492318802582023	0.328716754504258
0.830099999999925	0.498036719169598	0.491878044051796	0.328340943683439
0.832099999999925	0.497618248037054	0.49141863419644	0.327989837275406
0.834099999999924	0.497205161197157	0.490960691661911	0.327563409063618
0.836099999999924	0.496802973603381	0.490511476879218	0.327221691352155
