t	fs
7.74999999999988	0.516101455407798	0.533888888888872
7.75999999999988	0.51751294748356	0.535267555555539
7.76999999999988	0.518836255997868	0.536647999999983
7.77999999999988	0.520103405801447	0.538030222222206
7.78999999999988	0.52128205575319	0.539414222222205
7.79999999999988	0.522815779163536	0.540799999999983
7.80999999999988	0.524227230983087	0.542187555555539
7.81999999999988	0.52559916377066	0.543576888888872
7.82999999999988	0.527090539006966	0.544967999999983
7.83999999999988	0.528695865321017	0.546360888888872
7.84999999999988	0.530030480376889	0.547755555555538
7.85999999999988	0.531396141319228	0.549151999999983
7.86999999999988	0.532766326959082	0.550550222222205
7.87999999999988	0.534161730021035	0.551950222222205
7.88999999999988	0.535429679885782	0.553351999999983
7.89999999999988	0.536747219039921	0.554755555555538
7.90999999999988	0.538319538257608	0.556160888888871
7.91999999999988	0.539569739073971	0.557567999999983
7.92999999999988	0.54082511650851	0.558976888888871
7.93999999999988	0.542163387916437	0.560387555555538
7.94999999999987	0.543581587285582	0.561799999999982
7.95999999999987	0.544936001090218	0.563214222222205
7.96999999999987	0.546232718502021	0.564630222222204
7.97999999999987	0.54773639654225	0.566047999999982
7.98999999999987	0.549333572553599	0.567467555555538
7.99999999999987	0.550846724107347	0.568888888888871
8.00999999999987	0.552200912421888	0.570311999999982
8.01999999999987	0.553596288954794	0.571736888888871
8.02999999999987	0.554978979209568	0.573163555555537
8.03999999999987	0.556274669168874	0.574591999999982
8.04999999999987	0.557643094054834	0.576022222222204
8.05999999999987	0.558961045176741	0.577454222222204
8.06999999999987	0.56035740022513	0.578887999999982
8.07999999999987	0.561735222002512	0.580323555555537
8.08999999999987	0.563259794682425	0.581760888888871
8.09999999999987	0.564580077970931	0.583199999999982
8.10999999999987	0.566006288511493	0.58464088888887
8.11999999999987	0.567451230913864	0.586083555555537
8.12999999999987	0.568867100707642	0.587527999999981
8.13999999999987	0.57037080097227	0.588974222222204
8.14999999999987	0.571875412594188	0.590422222222203
8.15999999999987	0.573364106700924	0.591871999999981
8.16999999999987	0.574870352462703	0.593323555555537
8.17999999999987	0.576350167309864	0.59477688888887
8.18999999999987	0.577676979743694	0.596231999999981
8.19999999999987	0.578992753370291	0.59768888888887
8.20999999999987	0.580266289151546	0.599147555555536
8.21999999999987	0.581700956622106	0.600607999999981
8.22999999999987	0.583106067668336	0.602070222222203
8.23999999999987	0.584392470517139	0.603534222222203
8.24999999999987	0.585804972239502	0.604999999999981
8.25999999999987	0.587497928716253	0.606467555555536
8.26999999999987	0.588953115360466	0.607936888888869
8.27999999999987	0.590291493358536	0.609407999999981
8.28999999999987	0.59175934695611	0.610880888888869
8.29999999999987	0.593358474291791	0.612355555555536
8.30999999999987	0.594771577651099	0.613831999999981
8.31999999999987	0.596081362771326	0.615310222222203
8.32999999999987	0.597722051307334	0.616790222222203
8.33999999999987	0.599361185300056	0.61827199999998
8.34999999999987	0.600738664553616	0.619755555555536
8.35999999999987	0.602015962487343	0.621240888888869
8.36999999999987	0.603503212867849	0.62272799999998
8.37999999999987	0.604822827866811	0.624216888888869
8.38999999999987	0.606226450874926	0.625707555555535
8.39999999999987	0.607602445660165	0.62719999999998
8.40999999999987	0.609345205328465	0.628694222222202
8.41999999999986	0.610919500694838	0.630190222222202
8.42999999999986	0.612416311561076	0.63168799999998
8.43999999999986	0.614005321016655	0.633187555555535
8.44999999999986	0.615687595551196	0.634688888888869
8.45999999999986	0.617123368866008	0.63619199999998
8.46999999999986	0.618556304322659	0.637696888888868
8.47999999999986	0.619978458269886	0.639203555555535
8.48999999999986	0.621509139783413	0.640711999999979
8.49999999999986	0.622960439574044	0.642222222222202
8.50999999999986	0.624461310130965	0.643734222222202
8.51999999999986	0.625881884104577	0.645247999999979
8.52999999999986	0.627225824134272	0.646763555555535
8.53999999999986	0.628603740473612	0.648280888888868
8.54999999999986	0.630184689576838	0.649799999999979
8.55999999999986	0.631627071777026	0.651320888888868
8.56999999999986	0.63320009759815	0.652843555555534
8.57999999999986	0.634740654180041	0.654367999999979
8.58999999999986	0.636276557015473	0.655894222222201
8.59999999999986	0.637999116966252	0.657422222222201
8.60999999999986	0.639450792669667	0.658951999999979
8.61999999999986	0.640924656236663	0.660483555555534
8.62999999999986	0.642309189289879	0.662016888888867
8.63999999999986	0.643787867886291	0.663551999999979
8.64999999999986	0.645232081411968	0.665088888888867
8.65999999999986	0.646601163135824	0.666627555555534
8.66999999999986	0.648035574017741	0.668165467099223
8.67999999999986	0.649688860153225	0.669699824808295
8.68999999999986	0.651312982596059	0.671230626961812
8.69999999999986	0.652781675855971	0.672757873559774
8.70999999999986	0.654188220542875	0.67428156460218
8.71999999999986	0.655943847265988	0.67580170008903
8.72999999999986	0.657513957845115	0.677318280020325
8.73999999999986	0.659016811939249	0.678831304396064
8.74999999999986	0.660488272307361	0.680340773216248
8.75999999999986	0.662282153937611	0.681846686480876
8.76999999999986	0.663723117813842	0.683349044189949
8.77999999999986	0.665127550403935	0.684847846343466
8.78999999999986	0.666632174262261	0.686343092941427
8.79999999999986	0.668213743630603	0.687834783983833
8.80999999999986	0.669621694764184	0.689322919470683
8.81999999999986	0.670949484007794	0.690807499401978
8.82999999999986	0.672549390038248	0.692288523777717
8.83999999999986	0.674059829991163	0.693765992597901
8.84999999999986	0.675575106707377	0.695239905862529
8.85999999999986	0.677226285568894	0.696710263571602
8.86999999999986	0.678966616929192	0.698177065725119
8.87999999999986	0.680474059669524	0.69964031232308
8.88999999999985	0.681915863619061	0.701100003365486
8.89999999999985	0.683444723867174	0.702556138852337
8.90999999999985	0.685139055940871	0.704008718783631
8.91999999999985	0.686581254436239	0.705457743159371
8.92999999999985	0.688032370140204	0.706903211979554
8.93999999999985	0.689518602318571	0.708345125244182
8.94999999999985	0.69099951910964	0.709783482953255
8.95999999999985	0.692355115410987	0.711218285106772
8.96999999999985	0.693810973664512	0.712649531704734
8.97999999999985	0.695143203141435	0.714077222747139
8.98999999999985	0.696516739896984	0.71550135823399
8.99999999999985	0.697939975940079	0.716921938165285
9.00999999999985	0.699635906894192	0.718338962541024
9.01999999999985	0.701201036036947	0.719752431361208
9.02999999999985	0.702841173555973	0.721162344625836
9.03999999999985	0.704255255291081	0.722568702334908
9.04999999999985	0.705715152412649	0.723971504488426
9.05999999999985	0.707132398583811	0.725370751086387
9.06999999999985	0.708442859251064	0.726766442128793
9.07999999999985	0.709866649589028	0.728158577615643
9.08999999999985	0.711201949129159	0.729547157546938
9.09999999999985	0.712695149419226	0.730932181922677
9.10999999999985	0.713992495884126	0.732313650742861
9.11999999999985	0.715294975867211	0.733691564007489
9.12999999999985	0.716601782874338	0.735065921716562
9.13999999999985	0.718043660807588	0.736436723870079
9.14999999999985	0.719491834011319	0.73780397046804
9.15999999999985	0.720825586480849	0.739167661510446
9.16999999999985	0.722359040196605	0.740527796997296
9.17999999999985	0.724092004342103	0.741884376928591
9.18999999999985	0.725654874805853	0.74323740130433
9.19999999999985	0.726926339332235	0.744586870124514
9.20999999999985	0.728292016829777	0.745932783389142
9.21999999999985	0.729685273563241	0.747275141098215
9.22999999999985	0.73093814206552	0.748613943251732
9.23999999999985	0.73221753358388	0.749949189849693
9.24999999999985	0.733575625039145	0.751280880892099
9.25999999999985	0.734957630545102	0.75260901637895
9.26999999999985	0.736226349913506	0.753933596310244
9.27999999999985	0.737441161000643	0.755254620685984
9.28999999999985	0.738999009260757	0.756572089506167
9.29999999999985	0.740325948460504	0.757886002770796
9.30999999999985	0.741687149359492	0.759196360479868
9.31999999999985	0.743025935867032	0.760503162633385
9.32999999999985	0.744512567924937	0.761806409231347
9.33999999999985	0.745927585996595	0.763106100273752
9.34999999999985	0.747252364388261	0.764402235760603
