t	fs_A	fs_V
0.990099999999907	0.140106933000748	0.0985860436112253	0.0986599999999907
0.992099999999907	0.140337655514185	0.0987902274333803	0.0988699999999907
0.994099999999907	0.140568324826453	0.0989943919180667	0.0990699999999907
0.996099999999907	0.140798941980717	0.099198537922868	0.0992699999999907
0.998099999999906	0.141029506462084	0.0994026641431783	0.0994799999999906
1.00009999999991	0.141260018338439	0.0996067708800233	0.0996799999999906
1.00209999999991	0.141490477991192	0.0998108580066449	0.0998899999999812
1.00409999999991	0.141720885373737	0.100014925690013	0.100089999999991
1.00609999999991	0.141951240133052	0.100218974558846	0.100289999999991
1.00809999999991	0.142181544218921	0.100423003428864	0.100499999999991
1.01009999999991	0.142411798475885	0.100627012971036	0.100699999999991
1.0120999999999	0.142642001050539	0.100831006752631	0.10089999999999
1.0140999999999	0.142872152282804	0.101034982094541	0.10110999999999
1.0160999999999	0.143102252357844	0.101238938196864	0.10130999999999
1.0180999999999	0.143332301222125	0.101442875414114	0.10151999999999
1.0200999999999	0.143562298440791	0.101646794317066	0.10171999999999
1.0220999999999	0.143792242617599	0.101850701604309	0.10191999999999
1.0240999999999	0.144022134663534	0.10205459377224	0.10212999999999
1.0260999999999	0.144251976105133	0.102258467623246	0.10232999999999
1.0280999999999	0.144481767036314	0.10246232319174	0.10252999999999
1.0300999999999	0.144711507642005	0.102666160818908	0.10273999999999
1.0320999999999	0.144941198448201	0.102869980161406	0.10293999999999
1.0340999999999	0.145170839436081	0.103073781513607	0.10314999999999
1.0360999999999	0.14540042952167	0.10327756625726	0.10334999999999
1.0380999999999	0.145629970737934	0.10348133456952	0.10354999999999
1.0400999999999	0.145859462124622	0.103685090808722	0.10375999999999
1.0420999999999	0.146088902679871	0.103888831025309	0.10395999999999
1.0440999999999	0.14631829235818	0.104092555362613	0.10415999999999
1.0460999999999	0.146547631895056	0.104296265111713	0.10436999999999
1.0480999999999	0.146776921219896	0.10449996213608	0.10456999999999
1.0500999999999	0.147006161422519	0.104703645714853	0.10476999999999
1.0520999999999	0.147235352094421	0.104907314353529	0.10497999999999
1.0540999999999	0.14746449318939	0.105110966804284	0.10517999999999
1.0560999999999	0.147693584641916	0.105314602127604	0.10537999999999
1.0580999999999	0.147922626706687	0.105518224090715	0.10558999999999
1.0600999999999	0.148151618432555	0.10572183349101	0.10578999999999
1.0620999999999	0.148380560212182	0.105925431790993	0.10598999999999
1.0640999999999	0.148609452467807	0.106129013086831	0.10619999999999
1.0660999999999	0.148838295555624	0.106332578209526	0.10639999999999
1.0680999999999	0.149067088528177	0.106536131748108	0.10659999999999
1.0700999999999	0.149295831477627	0.106739675149627	0.10680999999999
1.0720999999999	0.149524525233982	0.106943205078997	0.10700999999999
1.0740999999999	0.149753169832268	0.107146717635215	0.10720999999999
1.0760999999999	0.149981765080338	0.107350213221853	0.10741999999999
1.0780999999999	0.150210311324345	0.107553693968831	0.10761999999999
1.0800999999999	0.15043880963403	0.107757160097761	0.10781999999999
1.0820999999999	0.15066725923638	0.107960608918104	0.10802999999999
1.0840999999999	0.150895659645506	0.108164041075066	0.10822999999999
1.0860999999999	0.151124011048143	0.108367456755272	0.10842999999999
1.0880999999999	0.151352313139051	0.108570857751225	0.10863999999999
1.0900999999999	0.15158056604357	0.108774244352734	0.10883999999999
1.0920999999999	0.151808770028613	0.108977615135996	0.10903999999999
1.0940999999999	0.152036925477845	0.109180969782885	0.10924999999999
1.0960999999999	0.152265032207556	0.10938430872198	0.10944999999999
1.0980999999999	0.152493089173312	0.10958763403969	0.10964999999999
1.1000999999999	0.152721095314427	0.109790956058508	0.10985999999999
1.1020999999999	0.152949053285298	0.109994262231878	0.11005999999999
1.10409999999989	0.153176963506173	0.110197551830951	0.110259999999989
1.10609999999989	0.153404827131914	0.110400824463525	0.110469999999989
1.10809999999989	0.153632643318193	0.110604080588543	0.110669999999989
1.11009999999989	0.15386041136099	0.110807322993442	0.110869999999989
1.11209999999989	0.154088131647171	0.111010552181106	0.111079999999979
1.11409999999989	0.154315803935863	0.111213773323299	0.111279999999989
1.11609999999989	0.154543429058085	0.111416979974165	0.111479999999989
1.11809999999989	0.1547710078086	0.111620169896977	0.111679999999989
1.12009999999989	0.154998539068022	0.11182334442217	0.111889999999989
1.12209999999989	0.155226023546146	0.11202650304595	0.112089999999989
1.12409999999989	0.15545346180478	0.112229645769453	0.112289999999989
1.12609999999989	0.155680853948059	0.112432773408009	0.112499999999989
1.12809999999989	0.1559082004106	0.112635888178405	0.112699999999989
1.13009999999989	0.156135501797107	0.112838986772462	0.112899999999989
1.13209999999989	0.156362756580005	0.11304207114324	0.113099999999989
1.13409999999989	0.156589965586288	0.113245146323164	0.113309999999989
1.13609999999989	0.156817128610013	0.113448206342375	0.113509999999989
1.13809999999989	0.15704424597932	0.113651251218444	0.113709999999989
1.14009999999989	0.157271319396399	0.113854281514518	0.113919999999989
1.14209999999989	0.157498347545285	0.114057298336688	0.114119999999989
1.14409999999989	0.15772532925665	0.114260305639791	0.114319999999989
1.14609999999989	0.15795226460234	0.114463302511252	0.114519999999989
1.14809999999989	0.158179155741709	0.114666286177391	0.114729999999989
1.15009999999989	0.158406002613261	0.114869256845777	0.114929999999989
1.15209999999989	0.158632804516687	0.115072211967891	0.115129999999989
1.15409999999989	0.158859560331664	0.115275155330547	0.115339999999989
1.15609999999989	0.15908626980693	0.115478084821508	0.115539999999989
1.15809999999989	0.159312935388155	0.11568099915766	0.115739999999989
1.16009999999989	0.15953955889061	0.11588390232615	0.115939999999989
1.16209999999989	0.159766136477442	0.116086795900046	0.116149999999989
1.16409999999989	0.1599926685896	0.116289674026912	0.116349999999989
1.16609999999989	0.160219154805276	0.116492537342543	0.116549999999989
1.16809999999989	0.160445595732179	0.116695386221059	0.116749999999989
1.17009999999989	0.160671992355033	0.116898222234204	0.116959999999989
1.17209999999989	0.160898344545694	0.117101042622668	0.117159999999989
1.17409999999989	0.161124651161694	0.11730384843539	0.117359999999989
1.17609999999989	0.161350912540109	0.11750663962754	0.117569999999977
1.17809999999989	0.161577128372214	0.117709418062962	0.117769999999989
1.18009999999989	0.161803298175336	0.117912185307992	0.117969999999989
1.18209999999989	0.162029421275334	0.118114941588137	0.118169999999989
1.18409999999989	0.16225549898904	0.118317683898404	0.118379999999989
1.18609999999989	0.162481529811212	0.118520416483956	0.118579999999989
1.18809999999989	0.16270751719709	0.118723133404104	0.118779999999989
1.19009999999989	0.162933460468817	0.118925835254968	0.118979999999989
1.19209999999989	0.163159358889415	0.119128522727455	0.119189999999989
1.19409999999988	0.163385212386363	0.11933119610837	0.119389999999988
1.19609999999988	0.163611019517762	0.119533858906636	0.119589999999988
1.19809999999988	0.163836780665276	0.119736510571461	0.119789999999988
1.20009999999988	0.164062497568085	0.119939147507973	0.119999999999988
1.20209999999988	0.164288171115965	0.120141775648349	0.120199999999988
1.20409999999988	0.164513800614299	0.120344391671713	0.120399999999988
1.20609999999988	0.164739384735518	0.120547000375784	0.120599999999988
1.20809999999988	0.164964924165491	0.120749596231739	0.120799999999988
1.21009999999988	0.165190419610629	0.120952177835942	0.121009999999988
1.21209999999988	0.165415871733282	0.121154745390928	0.121209999999988
1.21409999999988	0.165641280584377	0.121357303132801	0.121409999999988
1.21609999999988	0.165866644617066	0.121559847210164	0.121609999999988
1.21809999999988	0.166091964118196	0.12176237756866	0.121819999999988
1.22009999999988	0.166317238131906	0.121964897203385	0.122019999999988
1.22209999999988	0.166542468210045	0.122167402522853	0.122219999999988
1.22409999999988	0.166767653651796	0.122369894235203	0.122419999999988
1.22609999999988	0.166992795270114	0.122572371702019	0.122629999999988
1.22809999999988	0.16721789434078	0.12277484116129	0.122829999999988
1.23009999999988	0.167442950821492	0.122977299975303	0.123029999999988
1.23209999999988	0.167667963779471	0.123179744360012	0.123229999999988
1.23409999999988	0.167892933493644	0.12338217452624	0.123429999999988
1.23609999999988	0.16811786048422	0.12358459065751	0.123639999999988
1.23809999999988	0.168342743045308	0.123786996079891	0.123839999999988
1.24009999999988	0.16856758243801	0.123989391307404	0.124039999999988
1.24209999999988	0.168792379102254	0.124191774403893	0.124239999999988
1.24409999999988	0.169017132561531	0.124394143149899	0.124449999999988
1.24609999999988	0.169241842626044	0.124596499285214	0.124649999999988
1.24809999999988	0.16946650669624	0.124798852045456	0.124849999999988
1.25009999999988	0.169691124399381	0.125001198885427	0.125049999999988
1.25209999999988	0.169915698770751	0.125203531351254	0.125249999999988
1.25409999999988	0.170140231171635	0.12540585344243	0.125459999999988
1.25609999999988	0.170364719586058	0.125608163158788	0.125659999999988
1.25809999999988	0.170589164885409	0.125810458976114	0.125859999999988
1.26009999999988	0.170813567857126	0.126012740058093	0.126059999999988
1.26209999999988	0.17103792721408	0.126215012235844	0.126259999999988
1.26409999999988	0.17126224569739	0.126417273853834	0.126469999999988
1.26609999999988	0.171486520679742	0.126619525444	0.126669999999988
1.26809999999988	0.171710752255453	0.126821764324187	0.126869999999988
1.27009999999988	0.171934941391808	0.127023988704748	0.127069999999988
1.27209999999988	0.172159087092544	0.127226200533476	0.127269999999988
1.27409999999988	0.172383190265631	0.127428398793764	0.127479999999988
1.27609999999988	0.172607252577758	0.127630582943383	0.127679999999988
1.27809999999988	0.172831272876103	0.12783275291848	0.127879999999988
1.28009999999988	0.173055251098211	0.12803490898203	0.128079999999988
1.28209999999988	0.173279187383632	0.128237051176602	0.128279999999988
1.28409999999988	0.173503081469975	0.128439182397273	0.128489999999987
1.28609999999987	0.173726934336337	0.128641301163078	0.128689999999987
1.28809999999987	0.173950745454973	0.128843406094498	0.128889999999987
1.29009999999987	0.174174515079105	0.129045497152195	0.129089999999987
1.29209999999987	0.174398243238967	0.129247574996391	0.129289999999987
1.29409999999987	0.174621930287587	0.129449643999109	0.129489999999987
1.29609999999987	0.174845575681934	0.129656017734565	0.129699999999987
1.29809999999987	0.175080068183604	0.129849391130031	0.129899999999987
1.30009999999987	0.175303613044783	0.13005160305986	0.130099999999987
1.30209999999987	0.175527115823509	0.130258619527299	0.130299999999987
1.30409999999987	0.175761301178142	0.1304516548509	0.130499999999987
1.30609999999987	0.175984707117879	0.130653988528394	0.130709999999987
1.30809999999987	0.176218919571275	0.130851806527751	0.130909999999987
1.31009999999987	0.176442228242026	0.131054272202188	0.131109999999987
1.31209999999987	0.176665496200167	0.131256710970407	0.131309999999987
1.31409999999987	0.176899700522897	0.131454709199181	0.131509999999987
1.31609999999987	0.177122873112423	0.131657270657464	0.131709999999987
1.31809999999987	0.177357097558233	0.131855268086125	0.131919999999987
1.32009999999987	0.177580176688045	0.132057948423761	0.132119999999987
1.32209999999987	0.177803216111928	0.132264782915776	0.132319999999987
1.32409999999987	0.178037229921619	0.1324588086358	0.132519999999987
1.32609999999987	0.17826017531274	0.132661565310904	0.132719999999987
1.32809999999987	0.178494108754394	0.132859857636101	0.132919999999987
1.33009999999987	0.178716961047557	0.133062719364718	0.133129999999987
1.33209999999987	0.17895081993397	0.133260983278437	0.133329999999987
1.33409999999987	0.179173577238399	0.133463941437328	0.133529999999987
1.33609999999987	0.179407271887795	0.133662265048389	0.133729999999987
1.33809999999987	0.17962993284959	0.133865317348811	0.133929999999987
1.34009999999987	0.179863590068615	0.134063783048973	0.134129999999987
1.34209999999987	0.18008615961505	0.13426692103273	0.134339999999987
1.34409999999987	0.180318747790274	0.134466012939671	0.134539999999987
1.34609999999987	0.180543438945386	0.134672705624738	0.134739999999987
1.34809999999987	0.180774768905829	0.134867856604627	0.134939999999987
1.35009999999987	0.18100825730892	0.135066446913276	0.135139999999987
1.35209999999987	0.181230591767068	0.135269849439961	0.135339999999987
1.35409999999987	0.181463214637129	0.135468912288588	0.135539999999987
1.35609999999987	0.181685457355848	0.135672377965197	0.135749999999987
1.35809999999987	0.181919276272507	0.135870960378217	0.135949999999987
1.36009999999987	0.182145842354076	0.136077046887597	0.136149999999987
1.36209999999987	0.18237457306208	0.136273379900245	0.136349999999987
1.36409999999987	0.182607488577443	0.136472323785059	0.136549999999987
1.36609999999987	0.182829493591229	0.136676021969433	0.136749999999987
1.36809999999987	0.183062310047959	0.136875110860718	0.136949999999987
1.37009999999987	0.183294914097776	0.137074207875289	0.137159999999987
1.37209999999987	0.183516773663905	0.137278057050857	0.137359999999987
