t	wld
0.564099999999954	0	0.000744245000000082
0.566099999999954	0	0.000740696000000081
0.568099999999954	0	0.000737191000000081
0.570099999999954	0	0.00073373000000008
0.572099999999953	0	0.00073031200000008
0.574099999999953	0	0.000726936000000079
0.576099999999953	0	0.000723602000000078
0.578099999999953	0	0.000720308000000078
0.580099999999952	0	0.000717054000000077
0.582099999999952	0	0.000713839000000077
0.584099999999952	0	0.000710662000000076
0.586099999999952	0	0.000707523000000075
0.588099999999952	0	0.000704421000000074
0.590099999999951	0	0.000701355000000074
0.592099999999951	0	0.000698325000000073
0.594099999999951	0	0.000695329000000073
0.596099999999951	0	0.000692368000000072
0.59809999999995	0	0.000689440000000072
0.60009999999995	0	0.000686545000000072
0.60209999999995	0	0.000683683000000071
0.60409999999995	0	0.00068085300000007
0.60609999999995	0	0.00067805300000007
0.608099999999949	0	0.00067528500000007
0.610099999999949	0	0.000672547000000069
0.612099999999949	0	0.000669838000000069
0.614099999999949	0	0.000667158000000069
0.616099999999948	0	0.000664507000000068
0.618099999999948	0	0.000661884000000068
0.620099999999948	0	0.000659289000000067
0.622099999999948	0	0.000656721000000067
0.624099999999948	0	0.000654180000000066
0.626099999999947	0	0.000651665000000066
0.628099999999947	0	0.000649175000000065
0.630099999999947	0	0.000646711000000065
0.632099999999947	0	0.000644272000000065
0.634099999999946	0	0.000641858000000064
0.636099999999946	0	0.000639468000000063
0.638099999999946	0	0.000637101000000064
0.640099999999946	0	0.000634758000000063
0.642099999999946	0	0.000632437000000063
0.644099999999945	0	0.000630139000000063
0.646099999999945	0	0.000627864000000062
0.648099999999945	0	0.000625610000000062
0.650099999999945	0	0.000623378000000061
0.652099999999945	0	0.000621167000000061
0.654099999999944	0	0.000618977000000061
0.656099999999944	0	0.00061680700000006
0.658099999999944	0	0.00061465700000006
0.660099999999944	0	0.00061252800000006
0.662099999999943	0	0.000610417000000059
0.664099999999943	0	0.000608327000000059
0.666099999999943	0	0.000606255000000059
0.668099999999943	0	0.000604201000000058
0.670099999999943	0	0.000602166000000059
0.672099999999942	0	0.000600149000000058
0.674099999999942	0	0.000598150000000058
0.676099999999942	0	0.000596169000000057
0.678099999999942	0	0.000594205000000057
0.680099999999941	0	0.000592257000000057
0.682099999999941	0	0.000590327000000056
0.684099999999941	0	0.000588413000000056
0.686099999999941	0	0.000586515000000056
0.688099999999941	0	0.000584634000000055
0.69009999999994	0	0.000582768000000056
0.69209999999994	0	0.000580917000000055
0.69409999999994	0	0.000579082000000055
0.69609999999994	0	0.000577262000000055
0.698099999999939	0	0.000575457000000054
0.700099999999939	0	0.000573667000000054
0.702099999999939	0	0.000571891000000054
0.704099999999939	0	0.000570130000000053
0.706099999999939	0	0.000568382000000053
0.708099999999938	0	0.000566648000000054
0.710099999999938	0	0.000564928000000053
0.712099999999938	0	0.000563222000000053
0.714099999999938	0	0.000561528000000053
0.716099999999937	0	0.000559848000000053
0.718099999999937	0	0.000558181000000052
0.720099999999937	0	0.000556526000000052
0.722099999999937	0	0.000554884000000052
0.724099999999937	0	0.000553255000000051
0.726099999999936	0	0.000551637000000052
0.728099999999936	0	0.000550032000000051
0.730099999999936	0	0.000548438000000051
0.732099999999936	0	0.000546856000000051
0.734099999999935	0	0.00054528600000005
0.736099999999935	0	0.00054372700000005
0.738099999999935	0	0.00054217900000005
0.740099999999935	0	0.00054064200000005
0.742099999999935	0	0.00053911700000005
0.744099999999934	0	0.000537602000000049
0.746099999999934	0	0.000536097000000049
0.748099999999934	0	0.000534604000000049
0.750099999999934	0	0.000533120000000049
0.752099999999933	0	0.000531647000000049
0.754099999999933	0	0.000530184000000049
0.756099999999933	0	0.000528731000000048
0.758099999999933	0	0.000527287000000048
0.760099999999933	0	0.000525854000000048
0.762099999999932	0	0.000524429000000048
0.764099999999932	0	0.000523015000000048
0.766099999999932	0	0.000521609000000048
0.768099999999932	0	0.000520213000000048
0.770099999999932	0	0.000518826000000047
0.772099999999931	0	0.000517448000000047
0.774099999999931	0	0.000516078000000047
0.776099999999931	0	0.000514718000000047
0.778099999999931	0	0.000513366000000047
0.78009999999993	0	0.000512022000000047
0.78209999999993	0	0.000510687000000047
0.78409999999993	0	0.000509360000000046
0.78609999999993	0	0.000508041000000046
0.78809999999993	0	0.000506731000000046
0.790099999999929	0	0.000505428000000046
0.792099999999929	0	0.000504133000000046
0.794099999999929	0	0.000502846000000046
0.796099999999929	0	0.000501567000000045
0.798099999999928	0	0.000500295000000045
0.800099999999928	0	0.000499030000000045
0.802099999999928	0	0.000497773000000045
