t	fd_A	fd_V
0.198099999999995	0.00086542111893583	3.62776939941223E-05	0.000279005999999918
0.200099999999994	0.000995752221982532	4.44052221672035E-05	0.000310359999999906
0.202099999999994	0.00113891560695196	5.41594869566667E-05	0.000344840999999893
0.204099999999994	0.00129566696307953	6.57184043105678E-05	0.000382718999999878
0.206099999999994	0.00146679941457595	7.92759009270933E-05	0.000424285999999862
0.208099999999993	0.00167659154452889	9.45060675851327E-05	0.000469849999999843
0.210099999999993	0.00192130825183042	0.00011236689143707	0.000519741999999822
0.212099999999993	0.00218943297601106	0.000134171433508004	0.000574316999999799
0.214099999999993	0.00248225183423285	0.000160340045385523	0.000633947999999773
0.216099999999993	0.0028011085669753	0.000191328910207711	0.000699035999999747
0.218099999999992	0.00304355529254449	0.000216533578291278	0.000770002999999716
0.220099999999992	0.0033070722428003	0.000245536022357514	0.000847298999999682
0.222099999999992	0.00359732132830617	0.000279417324188136	0.000931395999999644
0.224099999999992	0.00391577477766884	0.00031868966633771	0.00102
0.226099999999991	0.00417768886655617	0.000353196877327633	0.00112
0.228099999999991	0.00444057411086105	0.000389445303678641	0.00122999999999912
0.230099999999991	0.00473121474148045	0.000431119314683443	0.0013499999999991
0.232099999999991	0.00505111071895247	0.000478758376970061	0.00147
0.234099999999991	0.00545319637263461	0.000534132976882518	0.00160999999999905
0.23609999999999	0.0058997451041635	0.000598348591023432	0.00175999999999903
0.23809999999999	0.00634998996178856	0.000667072114922159	0.00191
0.24009999999999	0.00677766559137649	0.00073208945453282	0.00208999999999899
0.24209999999999	0.00728720833317746	0.000806542197793203	0.00226999999999896
0.244099999999989	0.0078533887832336	0.000895399148111852	0.00246999999999895
0.246099999999989	0.00836644686979599	0.000980737317853242	0.00267999999999892
0.248099999999989	0.00892725002662717	0.00107899997004315	0.00290999999999781
0.250099999999989	0.0095488118308916	0.00119384276596704	0.00314999999999888
0.252099999999989	0.0101611880420109	0.00131306015921675	0.00340999999999885
0.254099999999988	0.0108003219559847	0.00144299054777337	0.00368999999999767
0.256099999999988	0.0115277439819193	0.00159198231694969	0.00397999999999881
0.258099999999988	0.0122891747189406	0.00174568532132116	0.00429999999999758
0.260099999999988	0.0130778307767269	0.00191264150714512	0.00462999999999754
0.262099999999987	0.0138920024119934	0.00209407249384152	0.0049899999999975
0.264099999999987	0.0146110445004365	0.00226186205208863	0.00535999999999744
0.266099999999987	0.0153545224851587	0.0024419653901638	0.00575999999999741
0.268099999999987	0.0161146790720018	0.00263383436256647	0.00617999999999735
0.270099999999987	0.0169550919993043	0.00283851477379049	0.00662999999999597
0.272099999999986	0.0179052008063796	0.00307475530749467	0.0070999999999959
0.274099999999986	0.0188613234335442	0.00332365491571695	0.00758999999999584
0.276099999999986	0.0199488163580354	0.0035946104800223	0.00810999999999577
0.278099999999986	0.0210406064706965	0.00387857055687763	0.00864999999999572
0.280099999999985	0.0220660552859911	0.00415620286737408	0.00921999999999563
0.282099999999985	0.023196122673341	0.00447468189597277	0.00981999999999557
0.284099999999985	0.0242934311092274	0.00479716069971236	0.0104399999999955
0.286099999999985	0.0253842380402293	0.00512823527812594	0.0110899999999939
0.288099999999985	0.0265626854888206	0.00549892022029877	0.0117599999999954
0.290099999999984	0.0276884839051133	0.00586527484316562	0.0124599999999953
0.292099999999984	0.028855043169563	0.00625347450186154	0.0131899999999937
0.294099999999984	0.030159708477457	0.00667497336812206	0.0139499999999936
0.296099999999984	0.0314020461378065	0.00709003442297748	0.0147299999999935
0.298099999999983	0.0326460234690927	0.00751875519328396	0.0155299999999934
0.300099999999983	0.0338160439367774	0.00793436383660115	0.0163699999999933
0.302099999999983	0.0351262707065158	0.00838517638841735	0.0172299999999915
0.304099999999983	0.0364975887182906	0.00886764072066232	0.0181099999999931
0.306099999999983	0.0378344545608972	0.00935188125924702	0.0190199999999913
0.308099999999982	0.0393150834301324	0.00988676177568048	0.019949999999993
0.310099999999982	0.0408518553647071	0.0104424240294954	0.0209099999999911
0.312099999999982	0.0423476545138525	0.010998767848137	0.021889999999991
0.314099999999982	0.0438689527492464	0.0115808290525986	0.0228899999999909
0.316099999999982	0.0453464137326595	0.0121606216122732	0.0239199999999908
0.318099999999981	0.0468022438467371	0.0127455880053572	0.0249699999999888
0.320099999999981	0.0482946235695963	0.0133594988239324	0.0260299999999905
0.322099999999981	0.0497473685817385	0.0139704961997941	0.0271199999999904
0.324099999999981	0.0511599989431571	0.014577673560149	0.0282299999999884
0.32609999999998	0.0526055933972909	0.0152113150492455	0.0293499999999902
0.32809999999998	0.0540286725175367	0.0158473472021261	0.0304899999999901
0.33009999999998	0.0555507381154948	0.0165161470125784	0.0316599999999879
0.33209999999998	0.0570362230964326	0.0171730126241431	0.0328299999999878
0.33409999999998	0.0584943163791358	0.0178297425880998	0.0340199999999877
0.336099999999979	0.0600231082153613	0.0185139001390715	0.0352299999999876
0.338099999999979	0.0615788284624062	0.019207087353536	0.0364599999999854
0.340099999999979	0.0631025346791583	0.0198983123160734	0.0376899999999873
0.342099999999979	0.064613699162484	0.0205967534112349	0.0389399999999872
0.344099999999978	0.0661656918771251	0.0213267741271871	0.0401999999999871
0.346099999999978	0.0677030390699136	0.0220623856735365	0.0414799999999847
0.348099999999978	0.0692162067118482	0.0227979457634927	0.0427699999999846
0.350099999999978	0.0708093194789801	0.0235607949907065	0.0440599999999866
0.352099999999978	0.0724296055212811	0.024340400124624	0.0453699999999843
0.354099999999977	0.0740301414059038	0.0251227952060914	0.0466899999999841
0.356099999999977	0.0756072542700457	0.0259050429900991	0.0480099999999862
0.358099999999977	0.0771261844097394	0.0266692473750452	0.0493499999999838
0.360099999999977	0.0786282410110924	0.0274351056314746	0.050689999999986
0.362099999999976	0.0801177323937556	0.0282047649246665	0.0520499999999835
0.364099999999976	0.0815869416745539	0.0289740597516423	0.0534099999999834
0.366099999999976	0.0830147608601807	0.0297304856317421	0.0547699999999856
0.368099999999976	0.084431389256306	0.0304902986413449	0.056149999999983
0.370099999999976	0.0858388852924728	0.0312539410898535	0.0575299999999829
0.372099999999975	0.0872932969086447	0.0320414260423496	0.0589099999999828
0.374099999999975	0.0888088208459485	0.0328523726566259	0.0603099999999826
0.376099999999975	0.090313779968532	0.0336673004252908	0.0616999999999824
0.378099999999975	0.0918085083122727	0.0344856835756052	0.0631099999999822
0.380099999999974	0.093263442211357	0.0352908473310493	0.0645099999999821
0.382099999999974	0.0947618978092132	0.0361034723610376	0.065929999999982
0.384099999999974	0.0962351372673948	0.0369071712000879	0.0673399999999818
0.386099999999974	0.0977050128252552	0.0377179136695047	0.0687599999999816
0.388099999999974	0.0991707718415399	0.0385357143492117	0.0701899999999815
0.390099999999973	0.100601626177317	0.039341949301401	0.0716199999999814
0.392099999999973	0.10202559026987	0.0401521560801851	0.0730499999999812
0.394099999999973	0.103438290536654	0.0409631410939674	0.074479999999981
0.396099999999973	0.104845132756267	0.0417795613228524	0.0759199999999809
0.398099999999972	0.106253524231533	0.042604259122265	0.0773599999999807
0.400099999999972	0.107638695664028	0.0434225160801924	0.0787999999999806
0.402099999999972	0.109023832715954	0.0442473474785322	0.0802499999999804
0.404099999999972	0.110388844473883	0.0450680049155239	0.0816999999999802
0.406099999999972	0.111755521895732	0.0458965358606272	0.0831499999999801
0.408099999999971	0.11313887818902	0.0467337768236932	0.08459999999998
0.410099999999971	0.114536416196776	0.0475684469548971	0.0860599999999769
0.412099999999971	0.115910288721238	0.04839575238013	0.0875099999999797
0.414099999999971	0.117287534651229	0.0492319197162821	0.0889699999999795
0.41609999999997	0.118658359279784	0.0500703604958254	0.0904299999999794
0.41809999999997	0.120017285566887	0.0509087269571491	0.0918899999999792
0.42009999999997	0.121344692481645	0.051734587575445	0.093359999999976
0.42209999999997	0.122623195070334	0.052533938194278	0.0948199999999789
0.42409999999997	0.12387191978961	0.0533207037026759	0.0962899999999757
0.426099999999969	0.125133689715447	0.0541217901139915	0.0977599999999755
0.428099999999969	0.126391894827733	0.0549252907566346	0.0992199999999784
0.430099999999969	0.127637134404313	0.05572675281634	0.100689999999978
0.432099999999969	0.12886705169714	0.0565232753088371	0.102159999999978
0.434099999999969	0.130168349461996	0.0573474669401452	0.103639999999975
0.436099999999968	0.131452836942156	0.058166640179822	0.105109999999975
0.438099999999968	0.132753242062228	0.0590019091392239	0.106579999999978
0.440099999999968	0.134033037308492	0.0598287199135787	0.108059999999974
0.442099999999968	0.135326102499999	0.0606706445464247	0.109529999999977
0.444099999999967	0.136612770368204	0.0615133101136127	0.111009999999974
0.446099999999967	0.137901822695873	0.0623521234493079	0.112479999999977
0.448099999999967	0.139236035528614	0.0632143093089323	0.113959999999977
0.450099999999967	0.140548495854739	0.0640669752708386	0.115439999999973
0.452099999999967	0.141865286056092	0.0649294606405834	0.116919999999973
0.454099999999966	0.143170103085599	0.0657887036878216	0.118389999999976
0.456099999999966	0.144411824922621	0.0666120537302946	0.119869999999976
0.458099999999966	0.14564681553059	0.0674342503153612	0.121349999999976
0.460099999999966	0.146853463300573	0.0682428378105171	0.122829999999976
0.462099999999965	0.148079007166807	0.0690691897742703	0.124319999999972
0.464099999999965	0.149286962277118	0.0698876395748296	0.125799999999972
