t	fs
5.06400000000154	0.487107866515535	0.507679999999643
5.06600000000153	0.487280916776061	0.507879999999643
5.06800000000153	0.487453954576016	0.508079999999642
5.07000000000152	0.487626986127874	0.508279999999641
5.07200000000152	0.487799992338381	0.50847999999964
5.07400000000151	0.487972973230299	0.508679999999639
5.07600000000151	0.488145928882261	0.508879999999639
5.0780000000015	0.488318859313875	0.509079999999638
5.0800000000015	0.488491750955129	0.509279999999637
5.08200000000149	0.488664603813533	0.509479999999636
5.08400000000149	0.488837431319903	0.509679999999635
5.08600000000149	0.489010233369307	0.509879999999635
5.08800000000148	0.489182998597629	0.510079999999634
5.09000000000148	0.489355727085487	0.510279999999633
5.09200000000147	0.489528430205356	0.510479999999632
5.09400000000147	0.489701107954007	0.510679999999631
5.09600000000146	0.489873760301791	0.510879999999631
5.09800000000146	0.490046387325329	0.51107999999963
5.10000000000145	0.490218989048043	0.511279999999629
5.10200000000145	0.490391565521323	0.511479999999628
5.10400000000144	0.490564115682676	0.511679999999627
5.10600000000144	0.490736619810006	0.511879999999627
5.10800000000143	0.490909098933899	0.512079999999626
5.11000000000143	0.491081553081328	0.512279999999625
5.11200000000142	0.491253982235745	0.512479999999624
5.11400000000142	0.491426386416569	0.512679999999623
5.11600000000142	0.4915987656249	0.512879999999623
5.11800000000141	0.491771135629511	0.513079999999622
5.12000000000141	0.491943490796407	0.513279999999621
5.1220000000014	0.492115820452809	0.51347999999962
5.1240000000014	0.49228812452361	0.513679999999619
5.12600000000139	0.492460402975409	0.513879999999619
5.12800000000139	0.492632651389237	0.514079999999618
5.13000000000138	0.492804856464224	0.514279999999617
5.13200000000138	0.492977035839762	0.514479999999616
5.13400000000137	0.493149176875621	0.514679999999615
5.13600000000137	0.493321273259122	0.514879999999615
5.13800000000136	0.49349333525635	0.515079999999614
5.14000000000136	0.493665371451239	0.515279999999613
5.14200000000135	0.493837371808975	0.515479999999612
5.14400000000135	0.494009327796275	0.515679999999611
5.14600000000135	0.49418125826651	0.515879999999611
5.14800000000134	0.494353163244696	0.51607999999961
5.15000000000134	0.494525042741623	0.516279999999609
5.15200000000133	0.494696896737196	0.516479999999608
5.15400000000133	0.494868725118521	0.516679999999607
5.15600000000132	0.49504052788155	0.516879999999607
5.15800000000132	0.495212305093902	0.517079999999606
5.16000000000131	0.495384046312971	0.517279999999605
5.16200000000131	0.495555746422578	0.517479999999604
5.1640000000013	0.495727421194528	0.517679999999603
5.1660000000013	0.495899070661739	0.517879999999603
5.16800000000129	0.496070694883033	0.518079999999602
5.17000000000129	0.496242282931922	0.518279999999601
5.17200000000128	0.49641383497403	0.5184799999996
5.17400000000128	0.496585362047824	0.518679999999599
5.17600000000128	0.496756864151003	0.518879999999599
5.17800000000127	0.496928341291937	0.519079999999598
5.18000000000127	0.497099784296111	0.519279999999597
5.18200000000126	0.497271194585001	0.519479999999596
5.18400000000126	0.497442601385546	0.519679999999595
5.18600000000125	0.49761398314277	0.519879999999595
5.18800000000125	0.497785339616316	0.520079999999594
5.19000000000124	0.497956670607586	0.520279999999593
5.19200000000124	0.498127976117862	0.520479999999592
5.19400000000123	0.498299256146131	0.520679999999591
5.19600000000123	0.498470510699026	0.520879999999591
5.19800000000122	0.498641739797102	0.52107999999959
5.20000000000122	0.498812943432946	0.521279999999589
5.20200000000122	0.498984121506903	0.521479999999588
5.20400000000121	0.499155273973327	0.521679999999587
5.20600000000121	0.499326400797248	0.521879999999587
5.2080000000012	0.499497501920487	0.522079999999586
5.2100000000012	0.499668595314856	0.522279999999585
5.21200000000119	0.49983966285395	0.522479999999584
5.21400000000119	0.500010690351585	0.522679999999583
5.21600000000118	0.500181691931297	0.522879999999583
5.21800000000118	0.500352667590165	0.523079999999582
5.22000000000117	0.500523617299887	0.523279999999581
5.22200000000117	0.500694541100202	0.52347999999958
5.22400000000116	0.500865438981291	0.523679999999579
5.22600000000116	0.501036310880106	0.523879999999579
5.22800000000115	0.501207156734782	0.524079999999578
5.23000000000115	0.50137797656629	0.524279999999577
5.23200000000115	0.501548770399853	0.524479999999576
5.23400000000114	0.501719538226503	0.524679999999575
5.23600000000114	0.501890279980358	0.524879999999575
5.23800000000113	0.502060974604422	0.525079999999574
5.24000000000113	0.50223163963099	0.525279999999573
5.24200000000112	0.502402257093377	0.525479999999572
5.24400000000112	0.502572848527169	0.525679999999571
5.24600000000111	0.502743401588195	0.525879999999571
5.24800000000111	0.502913918660093	0.52607999999957
5.2500000000011	0.503084409909352	0.526279999999569
5.2520000000011	0.503254875367661	0.526479999999568
5.25400000000109	0.503425315027903	0.526679999999567
5.25600000000109	0.503595712892357	0.526879999999567
5.25800000000108	0.50376607979819	0.527079999999566
5.26000000000108	0.503936421155399	0.527279999999565
5.26200000000108	0.504106710406067	0.527479999999564
5.26400000000107	0.504276966086725	0.527679999999564
5.26600000000107	0.504447180874653	0.527879999999563
5.26800000000106	0.504617370205164	0.528079999999562
5.27000000000106	0.504787534087669	0.528279999999561
5.27200000000105	0.504957672578716	0.52847999999956
