t;y = 0.116 m;y = 0.109 m;y = 0.101 m;y = 0.094 m;y = 0.086 m;y = 0.079 m;y = 0.071 m;y = 0.064 m;y = 0.056 m;y = 0.049 m;y = 0.041 m;y = 0.034 m;y = 0.026 m;y = 0.019 m;y = 0.011 m;y = 0.004 m;
8.202000;677.088551;676.660872;676.233194;675.718815;675.222236;674.749473;673.614830;672.480187;670.977310;668.794810;666.612310;661.023777;655.308556;638.888791;617.591134;596.293478;
8.302000;677.185456;676.771527;676.357599;675.896907;675.416118;674.799166;673.624880;672.450594;671.002587;668.762587;666.522587;660.950264;655.204161;638.567619;617.187776;595.807932;
8.402000;677.165586;676.748979;676.332372;675.880147;675.394029;674.836538;673.653323;672.470109;670.913395;668.607145;666.300895;660.713427;654.884383;638.271941;616.826784;595.381628;
8.502000;677.144435;676.740685;676.336935;675.826967;675.361178;674.740322;673.553893;672.367465;670.779540;668.449332;666.119124;660.444145;654.485395;637.757731;616.220074;594.682418;
8.602000;677.095055;676.706305;676.317555;675.900508;675.456035;674.909675;673.728782;672.547889;671.013618;668.640284;666.266951;660.382111;654.328287;637.484702;615.869233;594.253764;
8.702000;677.027278;676.622814;676.218349;675.795751;675.339238;674.763546;673.573725;672.383904;670.750228;668.339394;665.928561;660.000379;653.904864;636.989688;615.312813;593.635938;
8.802000;677.074184;676.653291;676.232398;675.779665;675.316244;674.768867;673.563332;672.357796;670.713033;668.298449;665.883866;659.951049;653.788034;636.795626;615.069219;593.342813;
8.902000;677.090450;676.662950;676.235450;675.842559;675.346572;674.662873;673.468230;672.273587;670.724524;668.261399;665.798274;659.758671;653.509847;636.470891;614.698079;592.925266;
9.002000;677.131526;676.684919;676.238312;675.672464;675.177069;674.676934;673.466577;672.256220;670.549394;668.048769;665.548144;659.440450;653.111111;636.008644;614.187551;592.366457;
9.102000;677.029939;676.615296;676.200653;675.767809;675.299652;674.640317;673.412282;672.184246;670.564089;668.037214;665.510339;659.317087;652.904366;635.814746;613.918184;592.021621;
9.202000;676.946001;676.545644;676.145287;675.693435;675.217185;674.618085;673.413978;672.209871;670.550471;667.966930;665.383388;659.149011;652.622026;635.291166;613.344604;591.398041;
9.300000;676.946804;676.553411;676.160018;675.742395;675.245816;674.691125;673.464875;672.238625;670.545382;667.921424;665.297465;658.788419;652.220404;634.977609;612.997766;591.017922;
9.400000;677.002464;676.641393;676.280321;675.773862;675.278664;674.615994;673.382958;672.149923;670.515153;667.815569;665.115986;658.754868;652.182662;634.863953;612.823172;590.782391;
9.500000;676.889071;676.501214;676.113357;675.718507;675.214230;674.580327;673.367292;672.154256;670.331743;667.596951;664.862160;658.478963;651.796684;634.394062;612.308437;590.222812;
9.600000;676.949982;676.546946;676.143911;675.563303;675.076592;674.559798;673.316583;672.073369;670.360583;667.613083;664.865583;658.247331;651.487846;634.001344;611.890406;589.779469;
9.700000;676.876089;676.481268;676.086446;675.762947;675.267158;674.639202;673.362417;672.085631;670.315514;667.505097;664.694681;658.082846;651.305272;633.866359;611.719016;589.571672;
9.800000;676.953732;676.578196;676.202661;675.704072;675.152033;674.464744;673.194208;671.923673;670.080938;667.240312;664.399688;657.820213;650.965434;633.396641;611.213984;589.031328;
9.900000;676.955732;676.580196;676.204661;675.652605;675.129184;674.523548;673.242833;671.962119;670.168632;667.297174;664.425715;657.625588;650.722059;633.168187;610.961312;588.754437;
10.000000;676.802786;676.426357;676.049929;675.604526;675.102421;674.523887;673.206208;671.888530;670.031028;667.110194;664.189361;657.536765;650.566176;632.873266;610.664359;588.455453;
10.100000;676.899714;676.511143;676.122571;675.608026;675.120921;674.419429;673.108000;671.796571;669.915229;666.960854;664.006479;657.149934;650.053831;632.433484;610.224891;588.016297;
10.200000;676.750268;676.365804;675.981339;675.604099;675.104954;674.513101;673.214708;671.916315;669.971875;667.020625;664.069375;657.115750;649.938250;632.288391;610.038234;587.788078;
10.300000;676.754250;676.386750;676.019250;675.542658;675.005026;674.280351;672.989458;671.698565;670.001118;666.970076;663.939035;656.863206;649.649971;631.898406;609.621844;587.345281;
10.400000;676.879893;676.481679;676.083464;675.541474;675.023579;674.422363;673.137542;671.852720;669.867681;666.752264;663.636847;656.631029;649.364853;631.558453;609.292672;587.026891;
10.500000;676.821929;676.399786;675.977643;675.531829;675.023013;674.453690;673.125833;671.797976;669.820806;666.716639;663.612472;656.417228;649.109360;631.368719;609.104031;586.839344;
10.600000;676.706375;676.310125;675.913875;675.448868;674.914395;674.285018;672.914125;671.543232;669.531417;666.428917;663.326417;656.211176;648.884118;631.171531;608.863719;586.555906;
10.700000;676.765946;676.386839;676.007732;675.544336;674.981243;674.205161;672.847125;671.489089;669.597389;666.445722;663.294056;656.117191;648.727044;630.770875;608.472125;586.173375;
10.800000;676.743214;676.339643;675.936071;675.383572;674.816533;674.188756;672.834292;671.479827;669.540215;666.291257;663.042299;655.771243;648.340287;630.542812;608.279687;586.016562;
10.900000;676.728018;676.351054;675.974089;675.458408;674.913276;674.229530;672.849708;671.469887;669.429500;666.114500;662.799500;655.563816;648.072419;630.290047;608.000828;585.711609;
11.000000;676.724589;676.364768;676.004946;675.510355;674.979434;674.315464;672.932250;671.549036;669.486021;666.132896;662.779771;655.428824;647.845882;629.927609;607.627766;585.327922;
11.100000;676.726857;676.342571;675.958286;675.457408;674.942276;674.417357;672.979500;671.541643;669.402653;666.028069;662.653486;655.201265;647.555676;629.657094;607.368656;585.080219;
11.200000;676.655911;676.290732;675.925554;675.485836;674.967743;674.177750;672.730250;671.282750;669.219625;665.795875;662.372125;654.858706;647.180471;629.353875;607.035125;584.716375;
11.300000;676.694464;676.313393;675.932321;675.440566;674.912803;674.242476;672.835333;671.428190;669.321736;665.824653;662.327569;654.772015;647.088926;629.140953;606.790172;584.439391;
11.400000;676.566911;676.161732;675.756554;675.282974;674.750079;674.137542;672.703792;671.270042;669.043660;665.531368;662.019076;654.503074;646.807632;628.573219;606.333531;584.093844;
11.500000;676.650643;676.239929;675.829214;675.323191;674.784178;674.072095;672.620667;671.169238;669.008757;665.488549;661.968340;654.475882;646.700588;628.157438;606.318063;584.478688;
11.600000;676.544411;676.144232;675.744054;675.234461;674.705118;674.113631;672.635417;671.157202;668.996826;665.419535;661.842243;654.125816;646.304419;628.027813;606.814688;585.601563;
11.700000;676.602571;676.199714;675.796857;675.347980;674.805809;674.099565;672.587958;671.076351;668.755410;665.160618;661.565826;653.952213;646.107434;628.347531;607.789719;587.231906;
11.800000;676.656161;676.243482;675.830804;675.349072;674.767033;673.913595;672.447167;670.980738;668.848035;665.219493;661.590951;653.872346;645.969772;628.743672;608.778203;588.812734;
11.900000;676.521571;676.128714;675.735857;675.206664;674.599757;673.900238;672.461667;671.023095;668.714764;665.056847;661.398931;653.656279;645.707603;628.932141;609.484484;590.036828;
12.000000;676.586071;676.178214;675.770357;675.168414;674.584007;673.897292;672.426042;670.954792;668.769958;665.096208;661.422458;653.619809;645.619956;629.314609;610.294766;591.274922;
12.100000;676.563071;676.155214;675.747357;675.185099;674.655954;674.048435;672.530042;671.011649;668.761035;665.012493;661.263951;653.365713;645.355934;629.264984;610.631391;591.997797;
12.200000;676.342464;675.961393;675.580321;675.181743;674.643520;673.848381;672.332667;670.816952;668.500396;664.701021;660.901646;653.110603;645.063985;629.439656;611.130594;592.821531;
