t	fs
0.167099999999998	0.0142876391762877
0.168099999999998	0.014407038432735
0.169099999999998	0.014525615705234
0.170099999999998	0.0146433857761595
0.171099999999997	0.0147603707878733
0.172099999999997	0.0148765775583412
0.173099999999997	0.0149920406089504
0.174099999999997	0.015106759793203
0.175099999999997	0.0152207604344751
0.176099999999997	0.0153340520093571
0.177099999999997	0.0154466599780673
0.178099999999997	0.0155584686199992
0.179099999999997	0.015669610506541
0.180099999999996	0.0157801083725982
0.181099999999996	0.0158899725191858
0.182099999999996	0.0159992299473909
0.183099999999996	0.0161078887136202
0.184099999999996	0.0162159279380319
0.185099999999996	0.0163233001644898
0.186099999999996	0.016430101444557
0.187099999999996	0.0165363183730803
0.188099999999996	0.0166420158676152
0.189099999999995	0.016747114308671
