t	nv
0.0620000000000007	394617386712.64	375866181818.193
0.0630000000000008	403518323448.028	382272272727.284
0.0640000000000008	410237321929.486	385840000000
0.0650000000000008	414737157936.23	393749000000
0.0660000000000009	419253327375.515	393749000000.012
0.0670000000000009	421517518713.744	401714000000
0.0680000000000009	421517518713.744	401714000000
0.0690000000000009	421517518713.744	401714000000
0.070000000000001	421517518713.744	401714000000
0.071000000000001	421517518713.744	401714000000
0.072000000000001	421517518713.744	401714000000
0.0730000000000011	421517518713.744	401714000000
0.0740000000000011	421517518713.744	401714000000
0.0750000000000011	421517518713.744	401714000000
0.0760000000000012	421517518713.744	401714000000
0.0770000000000012	421517518713.744	401714000000
0.0780000000000012	421517518713.744	401714000000
0.0790000000000012	421517518713.744	401714000000
0.0800000000000013	421517518713.744	401714000000
0.0810000000000013	421517518713.744	401714000000
0.0820000000000013	421517518713.744	401714000000
0.0830000000000014	421517518713.744	401714000000
0.0840000000000014	421517518713.744	401714000000
0.0850000000000014	421517518713.744	401714000000
0.0860000000000014	421517518713.744	401714000000
0.0870000000000015	421517518713.744	401714000000
0.0880000000000015	421517518713.744	401714000000
0.0890000000000015	421517518713.744	401714000000
0.0900000000000016	421517518713.744	401714000000
0.0910000000000016	421517518713.744	401714000000
0.0920000000000016	421517518713.744	401714000000
0.0930000000000016	421517518713.744	401714000000
0.0940000000000017	421517518713.744	401714000000
0.0950000000000017	421517518713.744	401714000000
0.0960000000000017	421517518713.744	401714000000
0.0970000000000018	421517518713.744	401714000000
0.0980000000000018	421517518713.744	401714000000
0.0990000000000018	421517518713.744	401714000000
0.100000000000002	421517518713.744	401714000000
0.101000000000002	421517518713.744	401714000000
0.102000000000002	421517518713.744	401714000000
0.103000000000002	421517518713.744	401714000000
0.104000000000002	421517518713.744	401714000000
0.105000000000002	421517518713.744	401714000000
0.106000000000002	421517518713.744	401714000000
0.107000000000002	421517518713.744	401714000000
0.108000000000002	421517518713.744	401714000000
0.109000000000002	421517518713.744	401714000000
0.110000000000002	421517518713.744	401714000000
0.111000000000002	421517518713.744	401714000000
0.112000000000002	421517518713.744	401714000000
0.113000000000002	421517518713.744	401714000000
0.114000000000002	421517518713.744	401714000000
0.115000000000002	421517518713.744	401714000000
0.116000000000002	421517518713.744	401714000000
0.117000000000002	421517518713.744	401714000000
0.118000000000002	421517518713.744	401714000000
0.119000000000002	421517518713.744	401714000000
0.120000000000002	421517518713.744	401714000000
0.121000000000002	421517518713.744	401714000000
0.122000000000002	421517518713.744	401714000000
0.123000000000002	421517518713.744	401714000000
0.124000000000003	421517518713.744	401714000000
0.125000000000003	421517518713.744	401714000000
0.126000000000002	421517518713.744	401714000000
0.127000000000002	421517518713.744	401714000000
0.128000000000002	421517518713.744	401714000000
0.129000000000002	421517518713.744	401714000000
0.130000000000002	421517518713.744	401714000000
0.131000000000002	421517518713.744	401714000000
0.132000000000002	421517518713.744	401714000000
0.133000000000002	421517518713.744	401714000000
0.134000000000002	421517518713.744	401714000000
0.135000000000001	421517518713.744	401714000000
0.136000000000001	421517518713.744	401714000000
0.137000000000001	421517518713.744	401714000000
0.138000000000001	421517518713.744	401714000000
0.139000000000001	421517518713.744	401714000000
0.140000000000001	421517518713.744	401714000000
0.141000000000001	421517518713.744	401714000000
0.142000000000001	421517518713.744	401714000000
0.143000000000001	421517518713.744	401714000000
0.144	421517518713.744	401714000000
0.145	421517518713.744	401714000000
0.146	421517518713.744	401714000000
0.147	421517518713.744	401714000000
0.148	421517518713.744	401714000000
0.1491	421517518713.744	401714000000
0.1501	421517518713.744	401714000000
0.1511	421517518713.744	401714000000
0.1521	421517518713.744	401714000000
0.153099999999999	421517518713.744	401714000000
0.154099999999999	421517518713.744	401714000000
0.155099999999999	421517518713.744	401714000000
0.156099999999999	421517518713.744	401714000000
0.157099999999999	421517518713.744	401714000000
0.158099999999999	421517518713.744	401714000000
0.159099999999999	421517518713.744	401714000000
0.160099999999999	421517518713.744	401714000000
0.161099999999999	421517518713.744	401714000000
0.162099999999998	421517518713.744	401714000000
0.163099999999998	421517518713.744	401714000000
0.164099999999998	421517518713.744	401714000000
0.165099999999998	421517518713.744	401714000000
0.166099999999998	421517518713.744	401714000000
0.167099999999998	421517518713.744	401714000000
0.168099999999998	421517518713.744	401714000000
0.169099999999998	421517518713.744	401714000000
0.170099999999998	421517518713.744	401714000000
0.171099999999997	421517518713.744	401714000000
0.172099999999997	421517518713.744	401714000000
0.173099999999997	421517518713.744	401714000000
0.174099999999997	421517518713.744	401714000000
0.175099999999997	421517518713.744	401714000000
0.176099999999997	421517518713.744	401714000000
0.177099999999997	421517518713.744	401714000000
0.178099999999997	421517518713.744	401714000000
0.179099999999997	421517518713.744	401714000000
0.180099999999996	421517518713.744	401714000000
0.181099999999996	421517518713.744	401714000000
0.182099999999996	421517518713.744	401714000000
0.183099999999996	421517518713.744	401714000000
0.184099999999996	421517518713.744	401714000000
0.185099999999996	421517518713.744	401714000000
0.186099999999996	421517518713.744	401714000000
0.187099999999996	421517518713.744	401714000000
0.188099999999996	421517518713.744	401714000000
0.189099999999995	421517518713.744	401714000000
0.190099999999995	421517518713.744	401714000000
0.191099999999995	421517518713.744	401714000000
0.192099999999995	421517518713.744	401714000000
0.193099999999995	421517518713.744	401714000000
0.194099999999995	421517518713.744	401714000000
0.195099999999995	421517518713.744	401714000000
0.196099999999995	421517518713.744	401714000000
0.197099999999995	421517518713.744	401714000000
0.198099999999995	421517518713.744	401714000000
0.199099999999994	421517518713.744	401714000000
