t	Sg
0.121000000000002	1277.58186607003	269.884400000007
0.122000000000002	1290.65424317158	272.820045454553
0.123000000000002	1297.73229199022	275.732354545462
0.124000000000003	1305.21465550015	278.622054545462
0.125000000000003	1312.53425427193	281.48977272728
0.126000000000002	1324.80238028899	284.336018181825
0.127000000000002	1329.28435231756	287.160745454552
0.128000000000002	1341.29689657597	289.964690909097
0.129000000000002	1353.21957159875	292.748927272733
0.130000000000002	1359.87113290295	295.513863636369
0.131000000000002	1371.57373850752	298.260027272732
0.132000000000002	1383.19178948046	300.987900000005
0.133000000000002	1394.41915777864	303.696936363641
0.134000000000002	1400.60120135321	306.388527272731
0.135000000000001	1411.92330327349	309.063200000004
0.136000000000001	1423.16474597651	311.721345454549
0.137000000000001	1434.3258127758	314.363200000003
0.138000000000001	1445.40941654499	316.98892727273
0.139000000000001	1456.41659083365	319.598745454548
0.140000000000001	1467.34744422832	322.193545454548
0.141000000000001	1472.82341844053	324.773527272729
0.142000000000001	1483.25145715169	327.339181818184
0.143000000000001	1493.92107262717	329.890700000001
0.144	1504.51973104106	332.42770909091
0.145	1506.86636500867	334.951200000001
0.146	1511.81355334497	337.461463636364
0.147	1522.11141049367	339.958863636364
0.148	1526.86054848987	342.443563636364
0.1491	1537.68367923796	345.161990909091
0.1501	1547.74912885276	347.620536363636
0.1511	1557.75139928362	350.066772727272
0.1521	1567.6940375093	352.501381818181
0.153099999999999	1577.57777039966	354.924545454544
0.154099999999999	1587.40321148261	357.336536363635
0.155099999999999	1585.07545044089	359.737499999998
0.156099999999999	1594.53459949683	362.127063636362
0.157099999999999	1598.34641101568	364.506054545452
0.158099999999999	1607.68842819062	366.874618181816
0.159099999999999	1616.99026045759	369.232999999997
0.160099999999999	1620.59122755174	371.581345454542
0.161099999999999	1629.44718609752	373.919527272724
0.162099999999998	1638.59328818575	376.24776363636
0.163099999999998	1647.69714951994	378.566454545451
0.164099999999998	1656.75996753075	380.875799999996
0.165099999999998	1665.78234396676	383.175981818177
0.166099999999998	1669.02119245195	385.466999999995
0.167099999999998	1677.42410638193	387.748709090904
0.168099999999998	1686.28779507438	390.021609090904
0.169099999999998	1695.10953792853	392.285854545449
0.170099999999998	1703.88916721923	394.541654545449
0.171099999999997	1712.62898663779	396.789063636358
0.172099999999997	1720.98769101601	399.028063636358
0.173099999999997	1729.6447281213	401.258654545448
0.174099999999997	1738.2601386821	403.481272727266
0.175099999999997	1746.83543230615	405.696072727266
0.176099999999997	1755.37067030825	407.903081818175
0.177099999999997	1763.86679300143	410.102499999993
0.178099999999997	1772.32511486404	412.293890909084
0.179099999999997	1774.83327014707	414.477818181811
0.180099999999996	1783.18480224822	416.65452727272
0.181099999999996	1785.21937185817	418.823936363629
0.182099999999996	1793.46521476465	420.986263636356
0.183099999999996	1801.67418196508	423.141536363628
0.184099999999996	1809.84781206987	425.289654545446
0.185099999999996	1817.635148021	427.431054545446
0.186099999999996	1825.73588779326	429.565681818173
0.187099999999996	1833.80068833816	431.693845454536
0.188099999999996	1841.83019955115	433.815399999991
0.189099999999995	1842.67409337236	435.9302090909
0.190099999999995	1850.45298996444	438.038736363627
0.191099999999995	1849.14297371436	440.140927272717
0.192099999999995	1847.39040513269	442.236927272717
0.193099999999995	1854.72302102882	444.326872727262
0.194099999999995	1862.05436240888	446.410599999989
0.195099999999995	1869.38303797544	448.488181818171
0.196099999999995	1870.28317516133	450.559872727262
0.197099999999995	1877.57143645648	452.625772727262
0.198099999999995	1884.85221218597	454.685918181807
0.199099999999994	1884.96949445531	456.740399999988
