t(s)	TM (0 mm) TM (24 mm) TM (41 mm) TM (59 mm) TM (80 mm) TM (99 mm) TM (121 mm)
17.40	854.744	905.549	926.759	939.206	945.785	947.933	949.094
17.50	854.590	905.261	926.633	939.326	945.644	947.957	949.198
17.60	854.504	905.098	926.513	938.991	945.592	947.851	949.234
17.70	854.538	905.000	926.368	938.949	945.581	947.940	949.089
17.80	854.423	904.637	926.214	938.886	945.617	947.873	949.011
17.90	854.242	904.484	926.088	938.939	945.564	947.892	949.083
18.00	854.169	904.385	925.961	938.904	945.513	947.945	949.113
18.10	854.017	904.061	925.827	938.762	945.478	947.910	948.979
18.20	853.975	904.076	925.750	938.670	945.493	947.940	949.143
18.30	853.863	903.871	925.541	938.488	945.352	947.891	949.064
18.40	853.989	903.857	925.394	938.428	945.426	947.797	948.958
18.50	853.819	903.599	925.287	938.455	945.450	947.885	949.042
18.60	853.710	903.338	925.040	938.223	945.336	947.913	949.005
18.70	853.831	903.327	924.979	938.204	945.298	947.791	948.967
18.80	853.639	903.103	924.923	938.247	945.123	947.727	949.056
18.90	853.496	902.864	924.733	938.045	945.146	947.769	948.957
19.00	853.565	902.952	924.718	937.945	945.189	947.659	948.888
19.10	853.392	902.695	924.483	937.959	945.187	947.699	949.005
19.20	853.263	902.406	924.338	937.752	944.987	947.645	949.074
19.30	853.297	902.360	924.349	937.630	945.087	947.698	948.932
19.40	853.256	902.348	924.097	937.717	944.999	947.675	948.932
19.50	853.134	902.070	924.043	937.583	944.994	947.472	949.023
19.60	853.152	902.058	923.962	937.498	944.912	947.582	948.811
19.70	853.019	901.746	923.794	937.578	944.931	947.512	948.995
19.80	852.945	901.512	923.594	937.243	944.723	947.461	948.982
19.90	853.007	901.540	923.554	937.188	944.862	947.562	948.750
20.00	852.802	901.277	923.407	937.313	944.846	947.569	948.898
20.10	852.811	901.138	923.276	937.219	944.748	947.586	948.800
20.20	852.692	901.063	923.224	937.163	944.742	947.656	948.909
20.30	852.538	900.776	922.985	936.893	944.732	947.509	948.884
20.40	852.645	900.781	922.864	936.875	944.672	947.456	948.789
20.50	852.589	900.633	922.857	936.853	944.584	947.410	948.889
20.60	852.341	900.369	922.611	936.656	944.387	947.362	948.772
20.70	852.430	900.428	922.575	936.570	944.450	947.407	948.751
20.80	852.417	900.149	922.375	936.675	944.495	947.413	948.968
20.90	852.164	899.989	922.250	936.573	944.335	947.321	948.804
21.00	852.163	900.012	922.257	936.388	944.346	947.271	948.684
21.10	852.051	899.822	922.036	936.381	944.380	947.287	948.708
21.20	851.984	899.634	921.885	936.353	944.241	947.158	948.625
21.30	851.965	899.645	921.927	936.211	944.240	947.208	948.625
21.40	851.818	899.399	921.805	936.055	944.226	947.289	948.710
21.50	851.702	899.180	921.498	936.106	944.120	947.164	948.539
21.60	851.813	899.230	921.506	936.080	944.056	947.188	948.651
