t	fs_A	fs_V
0.188099999999996	6.70796214148104E-06	1.96624101118278E-08	4.96034999999875E-08
0.190099999999995	7.1347444548025E-06	2.16519753821402E-08	5.55882999999855E-08
0.192099999999995	7.58892598275488E-06	2.38406251080322E-08	6.22496999999832E-08
0.194099999999995	8.07219045193439E-06	2.62474810490709E-08	6.96578999999804E-08
0.196099999999995	8.58631246724693E-06	2.88933758701459E-08	7.78900999999771E-08
0.198099999999995	9.13316152161051E-06	3.18009921059978E-08	8.70303999999737E-08
0.200099999999994	9.71470614088239E-06	3.49950111238053E-08	9.71708999999695E-08
0.202099999999994	1.03330181674708E-05	3.85022727068365E-08	1.08411999999965E-07
0.204099999999994	1.09902771861576E-05	4.23519459151267E-08	1.2086299999996E-07
0.206099999999994	1.16887750957234E-05	4.65757119135412E-08	1.34643999999954E-07
0.208099999999993	1.24309208300289E-05	5.12079594934705E-08	1.49883999999947E-07
0.210099999999993	1.32192452322702E-05	5.62859940518339E-08	1.6672499999994E-07
0.212099999999993	1.40564060861823E-05	6.18502608300777E-08	1.85319999999931E-07
0.214099999999993	1.49451933080273E-05	6.79445832565216E-08	2.05837999999922E-07
0.216099999999993	1.58885343032601E-05	7.461641727776E-08	2.28457999999912E-07
0.218099999999992	1.6889499491819E-05	8.19171226089277E-08	2.533789999999E-07
0.220099999999992	1.79513080060467E-05	8.99022518785576E-08	2.80812999999887E-07
0.222099999999992	1.90773335653003E-05	9.86318586915379E-08	3.10991999999872E-07
0.224099999999992	2.02711105313622E-05	1.08170825683376E-07	3.44166999999855E-07
0.226099999999991	2.15363401488175E-05	1.1858921369066E-07	3.80606999999837E-07
0.228099999999991	2.28768969746143E-05	1.29962633216347E-07	4.20607999999816E-07
0.230099999999991	2.42968355010784E-05	1.42372639424331E-07	4.64483999999794E-07
0.232099999999991	2.5769503371734E-05	1.55492430469607E-07	5.12578999999767E-07
0.234099999999991	2.73860596747394E-05	1.70710786036296E-07	5.6526099999974E-07
0.23609999999999	2.90488756600623E-05	1.86367347050024E-07	6.22929999999709E-07
0.23809999999999	3.07592591130901E-05	2.02476504863509E-07	6.86013999999675E-07
0.24009999999999	3.25185453196721E-05	2.19053216813076E-07	7.54976999999637E-07
0.24209999999999	3.43280974674958E-05	2.36113038655627E-07	8.30315999999593E-07
0.244099999999989	3.61893071095115E-05	2.5367215958252E-07	9.12568999999547E-07
0.246099999999989	3.81035946838821E-05	2.71747439869069E-07	1.0023099999995E-06
0.248099999999989	4.00724100854857E-05	2.90356451228689E-07	1.10015999999944E-06
0.250099999999989	4.37291372820491E-05	3.5556779773382E-07	1.20678999999938E-06
0.252099999999989	4.7837214893422E-05	4.32698142826248E-07	1.32291999999931E-06
0.254099999999988	5.20590732015242E-05	5.11890281903389E-07	1.44929999999923E-06
0.256099999999988	5.63981385597605E-05	5.93215971220337E-07	1.58676999999915E-06
0.258099999999988	6.08578516222443E-05	6.76748616067248E-07	1.73619999999906E-06
0.260099999999988	6.54416786865222E-05	7.62563616894987E-07	1.89854999999896E-06
0.262099999999987	7.01531209191357E-05	8.5073868381366E-07	2.07482999999885E-06
