t	fd_A	fd_V
0.176099999999997	0.0625571664808995	0.0194092126017958	0.0225799999999978
0.178099999999997	0.0651273249579541	0.0205535334562489	0.0239299999999977
0.180099999999996	0.0675030411679927	0.0216277578485036	0.0252999999999975
0.182099999999996	0.069788828749103	0.0226764196092336	0.0266799999999974
0.184099999999996	0.0723318569221185	0.023863052511434	0.0280799999999972
0.186099999999996	0.0747649589869225	0.0250149403534542	0.0294899999999971
0.188099999999996	0.0772236774750877	0.026196104271992	0.0309099999999969
0.190099999999995	0.0795477976367356	0.0273270070979746	0.0323399999999968
0.192099999999995	0.081861691953466	0.0284674997181829	0.0337699999999966
0.194099999999995	0.0842054922542789	0.0296376804707275	0.0351999999999965
0.196099999999995	0.0865595023457882	0.0308277816809722	0.0366399999999963
0.198099999999995	0.0888869787089268	0.0320186395335003	0.0380799999999962
0.200099999999994	0.0910752140414969	0.033149870267996	0.0395199999999954
0.202099999999994	0.0934050760342705	0.0343692987754306	0.0409499999999959
0.204099999999994	0.0956496880429552	0.0355564156100011	0.0423799999999957
0.206099999999994	0.0978759095633225	0.0367461760936078	0.0438099999999955
0.208099999999993	0.100098868362861	0.0379465293343302	0.0452299999999954
0.210099999999993	0.102287502158039	0.0391399474931547	0.0466499999999952
0.212099999999993	0.104430740480871	0.0403196088569076	0.0480599999999951
0.214099999999993	0.106511635459046	0.0414749932523995	0.0494599999999949
0.216099999999993	0.108552897840359	0.0426181109527177	0.0508499999999948
0.218099999999992	0.110720650030536	0.0438443049566043	0.0522399999999946
0.220099999999992	0.112754798080927	0.0450037168266412	0.0536099999999945
0.222099999999992	0.114662063861325	0.0460982943666319	0.0549799999999943
0.224099999999992	0.116556774352712	0.0471940279202805	0.0563399999999942
0.226099999999991	0.118545099504961	0.0483540398647825	0.0576799999999949
0.228099999999991	0.120496827327415	0.0495012349652826	0.0590199999999939
0.230099999999991	0.122403260214351	0.0506298073965009	0.0603399999999946
0.232099999999991	0.124172177795507	0.0516828163163929	0.0616599999999936
0.234099999999991	0.126154501379512	0.0528739808932928	0.0629599999999934
0.23609999999999	0.128171428335079	0.0540954172797585	0.0642499999999932
0.23809999999999	0.129954550415512	0.0551803348625019	0.0655299999999931
0.24009999999999	0.131790313661628	0.0563054153016054	0.0667899999999939
0.24209999999999	0.133490759223505	0.0573526680735488	0.0680499999999927
0.244099999999989	0.135201398304624	0.0584128238727389	0.0692899999999936
0.246099999999989	0.136863520891887	0.059448581790255	0.0705199999999935
0.248099999999989	0.138583956705778	0.0605278698663674	0.0717399999999934
0.250099999999989	0.140289956342861	0.0616044114874619	0.0729399999999933
0.252099999999989	0.141858067441419	0.0625978827331745	0.0741399999999931
0.254099999999988	0.14341577962908	0.0635899627035108	0.075319999999993
0.256099999999988	0.144921160027987	0.0645530738208504	0.0764899999999929
0.258099999999988	0.146499374289562	0.0655690952683835	0.077639999999994
0.260099999999988	0.148290126371849	0.0667312212929888	0.0787899999999926
0.262099999999987	0.149783872300057	0.067702534495302	0.0799199999999925
0.264099999999987	0.15133240047941	0.0687153260543192	0.0810399999999923
0.266099999999987	0.152743834002151	0.0696411881104287	0.0821499999999922
0.268099999999987	0.154145514509625	0.0705647738696948	0.0832399999999934
0.270099999999987	0.15556116032375	0.0715020836670402	0.084329999999992
0.272099999999986	0.156994676900369	0.0724558860756537	0.0853999999999918
0.274099999999986	0.15849923802171	0.0734626715490829	0.0864599999999917
0.276099999999986	0.159879726038641	0.0743891283708395	0.0874999999999929
0.278099999999986	0.161382833120776	0.0754042200185637	0.0885399999999928
0.280099999999985	0.162701916698458	0.0762967154674344	0.0895599999999927
0.282099999999985	0.163965794706987	0.0771546096127641	0.0905699999999926
0.284099999999985	0.165229922075727	0.0780161007566273	0.091569999999994
0.286099999999985	0.166536392866193	0.0789106493470879	0.0925599999999924
0.288099999999985	0.167977604112706	0.0799035073425884	0.0935399999999923
0.290099999999984	0.169205941590041	0.0807505705588878	0.0945099999999922
0.292099999999984	0.170505381784782	0.0816511872864643	0.0954599999999921
0.294099999999984	0.171686615876256	0.0824714003758076	0.0963999999999936
0.296099999999984	0.17282879426298	0.083266778128989	0.0973399999999919
0.298099999999983	0.17397469843097	0.0840676106143129	0.0982599999999918
0.300099999999983	0.175127675265509	0.0848763289650339	0.0991699999999916
0.302099999999983	0.176284200917323	0.0856904680054019	0.100069999999992
0.304099999999983	0.177408706134666	0.0864843452268628	0.100949999999993
0.306099999999983	0.178550478505279	0.0872934404532533	0.101829999999993
0.308099999999982	0.179713712168943	0.0881209229190016	0.102699999999993
0.310099999999982	0.180916577885515	0.0889801923409496	0.103559999999991
0.312099999999982	0.182056769606587	0.0897967081264561	0.104399999999993
0.314099999999982	0.183062980718316	0.0905177962713597	0.105239999999993
0.316099999999982	0.18404670089594	0.0912245619046072	0.106059999999993
0.318099999999981	0.185072195681916	0.0919642288561241	0.106879999999993
0.320099999999981	0.186058763175448	0.0926774026182417	0.107689999999992
0.322099999999981	0.187110987462014	0.0934413515655125	0.108479999999992
0.324099999999981	0.188083485247677	0.0941484416597464	0.109269999999992
0.32609999999998	0.189306909880395	0.095044543442463	0.110049999999992
0.32809999999998	0.190264315160602	0.0957449294617482	0.110809999999994
0.33009999999998	0.191287840277925	0.0964968550410847	0.111569999999992
0.33209999999998	0.192297171428029	0.09724036313524	0.112319999999992
0.33409999999998	0.193195308589217	0.0979023264476066	0.113059999999992
0.336099999999979	0.194102103586206	0.0985726022996783	0.113789999999992
0.338099999999979	0.194966957318385	0.0992129667802748	0.114509999999992
0.340099999999979	0.195821012035765	0.0998468154035654	0.115219999999994
0.342099999999979	0.196658323917666	0.100469588370631	0.115929999999991
0.344099999999978	0.197480524688525	0.101082437401912	0.116619999999994
