t	Cl
0.630099999999947	5.04289631877177	5.00564
0.632099999999947	5.04315394992913	5.00569
0.634099999999946	5.04329257988624	5.00574
0.636099999999946	5.04356190820852	5.00579
0.638099999999946	5.04383432599162	5.00584
0.640099999999946	5.0440927227922	5.00589999999999
0.642099999999946	5.04433543711714	5.00595
0.644099999999945	5.04453765376641	5.006
0.646099999999945	5.0447066309778	5.00605999999999
0.648099999999945	5.04490963343469	5.00611
0.650099999999945	5.04514400096584	5.00616
0.652099999999945	5.04534329616828	5.00622
0.654099999999944	5.04542751116671	5.00627
0.656099999999944	5.04522882613815	5.00633
0.658099999999944	5.04549212601847	5.00638999999999
0.660099999999944	5.04573909498375	5.00644
0.662099999999943	5.04596982866004	5.00649999999999
0.664099999999943	5.04618441479493	5.00655
0.666099999999943	5.04638527302679	5.00661
0.668099999999943	5.04660061213036	5.00667
0.670099999999943	5.04685866175808	5.00672999999999
0.672099999999942	5.04712780874588	5.00678999999999
0.674099999999942	5.04739301600303	5.00684
0.676099999999942	5.04766013370399	5.0069
0.678099999999942	5.04762080972741	5.00696
0.680099999999941	5.04787050581656	5.00702
0.682099999999941	5.04788306872255	5.00708
0.684099999999941	5.04813234778066	5.00714
0.686099999999941	5.04839306822574	5.0072
0.688099999999941	5.04864319659655	5.00726999999999
0.69009999999994	5.04887002474682	5.00732999999999
0.69209999999994	5.04902563138783	5.00739
0.69409999999994	5.04919677288003	5.00745
0.69609999999994	5.04936397931727	5.00751999999999
0.698099999999939	5.0495330173569	5.00758
0.700099999999939	5.04969878031175	5.00764
0.702099999999939	5.04989023244051	5.00770999999999
0.704099999999939	5.04946532513242	5.00777
0.706099999999939	5.04968130134007	5.00783999999999
0.708099999999938	5.04996948690082	5.0079
0.710099999999938	5.05025410330604	5.00797
0.712099999999938	5.05055964075533	5.00803999999999
0.714099999999938	5.05088695835022	5.0081
0.716099999999937	5.05121015515744	5.00817
0.718099999999937	5.05151888772015	5.00824
0.720099999999937	5.0518132415757	5.00831
0.722099999999937	5.05155348413161	5.00837999999999
0.724099999999937	5.05187213129643	5.00844999999999
0.726099999999936	5.05217632755201	5.00851999999999
0.728099999999936	5.05246615448186	5.00858999999999
0.730099999999936	5.0526632791072	5.00866
0.732099999999936	5.0529417947953	5.00873
0.734099999999935	5.05320599374595	5.0088
0.736099999999935	5.0534628309322	5.00887
0.738099999999935	5.05374241614652	5.00894999999999
0.740099999999935	5.0539920828284	5.00902
0.742099999999935	5.05424869563596	5.00909999999999
0.744099999999934	5.05448816331325	5.00917
0.746099999999934	5.05473088463074	5.00924999999999
0.748099999999934	5.05495898322459	5.00932
0.750099999999934	5.05517250598878	5.00939999999999
