t;y = 0.012 m;y = 0.007 m;y = 0.002 m;
9.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
9.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
10.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
11.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
12.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
13.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
13.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
13.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
13.300000;0.000000000000e+00;0.000000000000e+00;
